rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Inside Out 2,"$1,698,863,816","$652,980,194",38.4%,"$1,045,883,622",61.6%
2,Deadpool & Wolverine,"$1,338,073,645","$636,745,858",47.6%,"$701,327,787",52.4%
3,Moana 2,"$1,059,242,164","$460,405,297",43.5%,"$598,836,867",56.5%
4,Despicable Me 4,"$972,021,410","$361,004,205",37.1%,"$611,017,205",62.9%
5,Wicked,"$758,790,057","$474,983,975",62.6%,"$283,806,082",37.4%
6,Mufasa: The Lion King,"$722,631,756","$254,567,693",35.2%,"$468,064,063",64.8%
7,Dune: Part Two,"$714,844,358","$282,144,358",39.5%,"$432,700,000",60.5%
8,Godzilla x Kong: The New Empire,"$572,050,016","$196,350,016",34.3%,"$375,700,000",65.7%
9,Kung Fu Panda 4,"$547,946,428","$193,590,620",35.3%,"$354,355,808",64.7%
10,Sonic the Hedgehog 3,"$492,162,604","$236,115,100",48%,"$256,047,504",52%
11,Venom: The Last Dance,"$478,937,618","$139,755,882",29.2%,"$339,181,736",70.8%
12,Gladiator II,"$462,180,717","$172,438,016",37.3%,"$289,742,701",62.7%
13,Beetlejuice Beetlejuice,"$452,000,435","$294,100,435",65.1%,"$157,900,000",34.9%
14,Yolo,"$433,606,094","$2,001,584",0.5%,"$431,604,510",99.5%
15,Pegasus 2,"$422,878,491",-,-,"$422,878,491",100%
16,Successor,"$422,307,398",-,-,"$422,307,398",100%
17,Bad Boys: Ride or Die,"$404,550,184","$193,573,217",47.8%,"$210,976,967",52.2%
18,Kingdom of the Planet of the Apes,"$397,378,150","$171,130,165",43.1%,"$226,247,985",56.9%
19,Twisters,"$372,262,265","$267,762,265",71.9%,"$104,500,000",28.1%
20,It Ends with Us,"$351,441,044","$148,518,266",42.3%,"$202,922,778",57.7%
21,Alien: Romulus,"$350,865,342","$105,313,091",30%,"$245,552,251",70%
22,The Wild Robot,"$334,537,187","$143,901,945",43%,"$190,635,242",57%
23,Article 20,"$306,899,794",-,-,"$306,899,794",100%
24,A Quiet Place: Day One,"$261,907,653","$139,051,884",53.1%,"$122,855,769",46.9%
25,Boonie Bears: Time Twist,"$250,921,235",-,-,"$250,921,235",100%
26,The Garfield Movie,"$234,748,692","$91,956,547",39.2%,"$142,792,145",60.8%
27,Paddington in Peru,"$211,000,000","$45,800,000",21.7%,"$165,200,000",78.3%
28,Joker: Folie à Deux,"$207,500,287","$58,300,287",28.1%,"$149,200,000",71.9%
29,Ghostbusters: Frozen Empire,"$201,967,521","$113,376,590",56.1%,"$88,590,931",43.9%
30,IF,"$190,535,708","$111,375,918",58.5%,"$79,159,790",41.5%
31,Red One,"$186,000,759","$97,000,759",52.2%,"$89,000,000",47.8%
32,Nosferatu,"$181,954,339","$95,608,235",52.5%,"$86,346,104",47.5%
33,The Fall Guy,"$181,073,291","$92,900,355",51.3%,"$88,172,936",48.7%
34,Bob Marley: One Love,"$180,971,146","$96,981,216",53.6%,"$83,989,930",46.4%
35,Pushpa: The Rule - Part 2,"$175,399,684","$13,000,000",7.4%,"$162,399,684",92.6%
36,Furiosa: A Mad Max Saga,"$174,375,791","$67,475,791",38.7%,"$106,900,000",61.3%
37,A Place Called Silence,"$174,308,156",-,-,"$174,308,156",100%
38,The Beekeeper,"$162,619,535","$66,220,535",40.7%,"$96,399,000",59.3%
39,The Volunteers: The Battle of Life and Death,"$153,429,899",-,-,"$153,429,899",100%
40,A Complete Unknown,"$140,508,652","$75,001,720",53.4%,"$65,506,932",46.6%
41,Smile 2,"$138,128,854","$69,012,586",50%,"$69,116,268",50%
42,Transformers One,"$129,408,392","$59,098,421",45.7%,"$70,309,971",54.3%
43,Longlegs,"$127,961,936","$74,346,140",58.1%,"$53,615,796",41.9%
44,Conclave,"$127,848,258","$32,580,655",25.5%,"$95,267,603",74.5%
45,Civil War,"$127,268,065","$68,756,072",54%,"$58,511,993",46%
46,Kalki 2898 AD,"$125,857,438","$18,289,575",14.5%,"$107,567,863",85.5%
47,Detective Conan: The Million-Dollar Pentagram,"$108,136,957",-,-,"$108,136,957",100%
48,Mean Girls,"$104,970,953","$72,581,770",69.1%,"$32,389,183",30.9%
49,Madame Web,"$100,498,764","$43,817,106",43.6%,"$56,681,658",56.4%
50,Haikyu!! The Dumpster Battle,"$100,050,498","$7,071,622",7.1%,"$92,978,876",92.9%
51,Argylle,"$96,221,061","$45,207,275",47%,"$51,013,786",53%
52,Challengers,"$96,119,408","$50,119,408",52.1%,"$46,000,000",47.9%
53,Exhuma,"$93,874,846","$2,310,900",2.5%,"$91,563,946",97.5%
54,Terrifier 3,"$89,169,769","$53,981,071",60.5%,"$35,188,698",39.5%
55,The Count of Monte-Cristo,"$85,865,841","$529,830",0.6%,"$85,336,011",99.4%
56,A Little Something Extra,"$84,359,076",-,-,"$84,359,076",100%
57,Trap,"$83,677,281","$42,777,281",51.1%,"$40,900,000",48.9%
58,The Roundup: Punishment,"$80,426,848","$1,154,475",1.4%,"$79,272,373",98.6%
59,The Substance,"$77,316,812","$17,584,795",22.7%,"$59,732,017",77.3%
60,Speak No Evil,"$76,756,109","$36,931,420",48.1%,"$39,824,689",51.9%
61,Babygirl,"$64,716,399","$28,196,732",43.6%,"$36,519,667",56.4%
62,Kraven the Hunter,"$62,076,533","$25,026,310",40.3%,"$37,050,223",59.7%
63,Heretic,"$59,777,970","$27,986,380",46.8%,"$31,791,590",53.2%
64,We Live in Time,"$58,486,338","$24,692,924",42.2%,"$33,793,414",57.8%
65,Anora,"$57,395,612","$20,474,295",35.7%,"$36,921,317",64.3%
66,Night Swim,"$54,768,317","$32,494,740",59.3%,"$22,273,577",40.7%
67,Kingdom 4: Return of the Great General,"$54,114,815",-,-,"$54,114,815",100%
68,The First Omen,"$53,845,880","$20,092,802",37.3%,"$33,753,078",62.7%
69,"I, the Executioner","$53,480,861","$388,067",0.7%,"$53,092,794",99.3%
70,Coraline 15th Anniversary,"$52,371,887","$33,626,425",64.2%,"$18,745,462",35.8%
71,Back to Black,"$51,026,731","$6,178,165",12.1%,"$44,848,566",87.9%
72,The Brutalist,"$50,450,120","$16,279,129",32.3%,"$34,170,991",67.7%
73,Tarot,"$49,371,152","$18,771,004",38%,"$30,600,148",62%
74,The Strangers: Chapter 1,"$48,166,448","$35,202,562",73.1%,"$12,963,886",26.9%
75,Blink Twice,"$48,093,906","$23,093,906",48%,"$25,000,000",52%
76,Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,"$44,354,825","$17,657,658",39.8%,"$26,697,167",60.2%
77,Imaginary,"$43,778,760","$28,009,161",64%,"$15,769,599",36%
78,Abigail,"$42,791,449","$25,867,515",60.5%,"$16,923,934",39.5%
79,Fly Me to the Moon,"$42,260,534","$20,532,222",48.6%,"$21,728,312",51.4%
80,Arthur the King,"$40,861,764","$25,049,006",61.3%,"$15,812,758",38.7%
81,The Forge,"$40,395,051","$29,123,632",72.1%,"$11,271,419",27.9%
82,The Best Christmas Pageant Ever,"$40,262,167","$40,048,808",99.5%,"$213,359",0.5%
83,Cells at Work!,"$39,618,125",-,-,"$39,618,125",100%
84,Horizon: An American Saga - Chapter 1,"$38,835,702","$29,035,702",74.8%,"$9,800,000",25.2%
85,Interstellar 2024 Re-release,"$38,669,781","$15,207,563",39.3%,"$23,462,218",60.7%
86,I'm Still Here,"$36,425,634","$6,233,517",17.1%,"$30,192,117",82.9%
87,Beating Hearts,"$36,261,644",-,-,"$36,261,644",100%
88,The Bikeriders,"$36,159,144","$21,746,895",60.1%,"$14,412,249",39.9%
89,Mobile Suit Gundam SEED Freedom,"$36,041,159",-,-,"$36,041,159",100%
90,Monkey Man,"$35,383,733","$25,116,955",71%,"$10,266,778",29%
91,Immaculate,"$34,853,031","$15,671,307",45%,"$19,181,724",55%
92,Harbin,"$33,469,148","$951,874",2.8%,"$32,517,274",97.2%
93,Doraemon the Movie: Nobita's Earth Symphony,"$33,399,912",-,-,"$33,399,912",100%
94,The Watchers,"$33,371,404","$19,071,404",57.1%,"$14,300,000",42.9%
95,Borderlands,"$33,017,367","$15,482,668",46.9%,"$17,534,699",53.1%
96,Harold and the Purple Crayon,"$32,227,855","$17,640,924",54.7%,"$14,586,931",45.3%
97,My Hero Academia: You're Next,"$32,224,616","$5,041,781",15.6%,"$27,182,835",84.4%
98,A Strange House,"$31,023,268",-,-,"$31,023,268",100%
99,Flow,"$30,918,215","$4,844,117",15.7%,"$26,074,098",84.3%
100,Pilot,"$30,917,972",-,-,"$30,917,972",100%
101,Finist: The First Warrior,"$30,458,079",-,-,"$30,458,079",100%
102,Reagan,"$30,107,173","$30,047,417",99.8%,"$59,756",0.2%
103,Interstellar 2025 Re-release,"$30,058,965",-,-,"$30,058,965",100%
104,The Ministry of Ungentlemanly Warfare,"$29,768,915","$20,535,053",69%,"$9,233,862",31%
105,Chantal in Fairyland,"$29,663,607",-,-,"$29,663,607",100%
106,The Master and Margarita,"$29,307,694",-,-,"$29,307,694",100%
107,The Marching Band,"$27,785,023",-,-,"$27,785,023",100%
108,Juror #2,"$27,300,000",-,-,"$27,300,000",100%
109,Wicked Little Letters,"$27,179,700","$5,008,179",18.4%,"$22,171,521",81.6%
110,School of Magical Animals 3,"$25,724,127",-,-,"$25,724,127",100%
111,Grand Maison Paris,"$25,492,893",-,-,"$25,492,893",100%
112,Maria,"$25,399,103",-,-,"$25,399,103",100%
113,The Firefighters,"$25,100,608",-,-,"$25,100,608",100%
114,A Real Pain,"$24,856,027","$8,344,978",33.6%,"$16,511,049",66.4%
115,Attack on Titan the Movie: The Last Attack,"$24,745,935","$2,890,192",11.7%,"$21,855,743",88.3%
116,Lee,"$24,676,030","$2,005,488",8.1%,"$22,670,542",91.9%
117,Crayon Shin-chan: Our Dinosaur Diary,"$24,444,687",-,-,"$24,444,687",100%
118,The Crow,"$24,109,036","$9,275,659",38.5%,"$14,833,377",61.5%
119,"Hello, Love, Again","$22,881,613","$2,625,000",11.5%,"$20,256,613",88.5%
120,Better Man,"$22,549,151","$1,983,648",8.8%,"$20,565,503",91.2%
121,MaXXXine,"$22,057,160","$15,097,632",68.4%,"$6,959,528",31.6%
122,Autumn and the Black Jaguar,"$22,034,937","$546,879",2.5%,"$21,488,058",97.5%
123,Mai,"$21,714,524",-,-,"$21,714,524",100%
124,The Room Next Door,"$21,519,488","$2,519,488",11.7%,"$19,000,000",88.3%
