rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Batman,"$401,188,924","$251,188,924",62.6%,"$150,000,000",37.4%
2,Indiana Jones and the Last Crusade,"$197,171,806","$197,171,806",100%,-,-
3,Dead Poets Society,"$175,480,949","$95,860,116",54.6%,"$79,619,323",45.4%
4,Lethal Weapon 2,"$147,253,986","$147,253,986",100%,-,-
5,Look Who's Talking,"$140,088,813","$140,088,813",100%,-,-
6,"Honey, I Shrunk the Kids","$130,725,045","$130,724,172",100%,-,-
7,Back to the Future Part II,"$118,911,489","$118,811,197",99.9%,"$99,328",<0.1%
8,Ghostbusters II,"$112,496,257","$112,494,738",100%,-,-
9,Driving Miss Daisy,"$106,593,296","$106,593,296",100%,-,-
10,Parenthood,"$100,047,830","$100,047,830",100%,-,-
11,When Harry Met Sally...,"$92,825,786","$92,823,546",100%,-,-
12,The War of the Roses,"$86,888,546","$86,888,546",100%,-,-
13,The Little Mermaid,"$84,358,283","$84,355,863",100%,-,-
14,Steel Magnolias,"$83,759,091","$83,759,091",100%,-,-
15,National Lampoon's Christmas Vacation,"$71,322,270","$71,319,526",100%,$325,<0.1%
16,Turner & Hooch,"$71,079,915","$71,079,915",100%,-,-
17,Born on the Fourth of July,"$70,001,698","$70,001,698",100%,-,-
18,Uncle Buck,"$66,758,538","$66,758,538",100%,-,-
19,Field of Dreams,"$64,532,366","$64,532,235",100%,-,-
20,Tango & Cash,"$63,408,614","$63,408,614",100%,-,-
21,Harlem Nights,"$60,864,870","$60,864,870",100%,-,-
22,Sea of Love,"$58,571,513","$58,571,513",100%,-,-
23,Pet Sematary,"$57,469,467","$57,469,467",100%,-,-
24,The Abyss,"$54,222,310","$54,222,310",100%,-,-
25,Star Trek V: The Final Frontier,"$52,210,049","$52,210,049",100%,-,-
26,Major League,"$49,797,487","$49,797,148",100%,-,-
27,"See No Evil, Hear No Evil","$46,908,987","$46,908,987",100%,-,-
28,Black Rain,"$46,212,140","$46,212,055",100%,-,-
29,Always,"$43,858,790","$43,858,790",100%,-,-
30,K-9,"$43,247,647","$43,247,647",100%,-,-
31,Three Fugitives,"$40,586,886","$40,586,886",100%,-,-
32,Bill & Ted's Excellent Adventure,"$40,486,714","$40,485,039",100%,-,-
33,The Karate Kid Part III,"$38,956,288","$38,956,288",100%,-,-
34,The 'Burbs,"$36,602,268","$36,601,993",100%,-,-
35,Fletch Lives,"$35,150,960","$35,150,960",100%,-,-
36,Licence to Kill,"$34,667,388","$34,667,015",100%,-,-
37,Lean on Me,"$31,906,454","$31,906,454",100%,-,-
38,The Bear,"$31,753,898","$31,753,898",100%,-,-
39,Weekend at Bernie's,"$30,218,387","$30,218,387",100%,-,-
40,Road House,"$30,050,265","$30,050,028",100%,-,-
41,Peter Pan 1989 Re-release,"$29,445,131","$29,445,131",100%,-,-
42,The Dream Team,"$28,907,090","$28,890,240",99.9%,"$16,850",<0.1%
43,Do the Right Thing,"$27,548,375","$27,545,445",100%,-,-
44,All Dogs Go to Heaven,"$27,100,027","$27,100,027",100%,-,-
45,Glory,"$26,828,365","$26,828,365",100%,-,-
46,"Sex, Lies, and Videotape","$24,742,089","$24,741,667",100%,$422,<0.1%
47,A Nightmare on Elm Street: The Dream Child,"$22,168,359","$22,168,359",100%,-,-
48,Dad,"$22,103,037","$22,103,037",100%,-,-
49,Lock Up,"$22,099,847","$22,099,847",100%,-,-
50,Cousins,"$22,026,369","$22,026,369",100%,-,-
51,The Rescuers 1989 Re-release,"$21,215,869","$21,215,869",100%,-,-
52,Say Anything,"$20,781,987","$20,781,385",100%,-,-
53,An Innocent Man,"$20,047,604","$20,047,604",100%,-,-
54,The Fly II,"$20,021,322","$20,021,322",100%,-,-
55,Skin Deep,"$19,674,852","$19,674,852",100%,-,-
56,Blaze,"$19,131,246","$19,131,246",100%,-,-
57,Her Alibi,"$18,699,037","$18,699,037",100%,-,-
58,Casualties of War,"$18,671,317","$18,671,317",100%,-,-
59,Prancer,"$18,587,135","$18,587,135",100%,-,-
60,The Fabulous Baker Boys,"$18,428,904","$18,428,904",100%,-,-
61,Crimes and Misdemeanors,"$18,254,702","$18,254,702",100%,-,-
62,Shocker,"$16,554,699","$16,554,699",100%,-,-
63,Chances Are,"$16,278,590","$16,278,590",100%,-,-
64,No Holds Barred,"$16,093,651","$16,093,651",100%,-,-
65,Next of Kin,"$15,942,628","$15,942,628",100%,-,-
66,Leviathan,"$15,704,614","$15,704,614",100%,-,-
67,She-Devil,"$15,351,421","$15,351,421",100%,-,-
68,My Left Foot,"$14,743,391","$14,743,391",100%,-,-
69,Kickboxer,"$14,697,005","$14,697,005",100%,-,-
70,Friday the 13th Part VIII: Jason Takes Manhattan,"$14,343,976","$14,343,976",100%,-,-
71,The Wizard,"$14,278,900","$14,278,900",100%,-,-
72,Great Balls of Fire!,"$13,741,060","$13,741,060",100%,-,-
73,Family Business,"$12,195,695","$12,195,695",100%,-,-
74,Pink Cadillac,"$12,143,484","$12,143,484",100%,-,-
75,She's Out of Control,"$12,065,892","$12,065,892",100%,-,-
76,Halloween 5: The Revenge of Michael Myers,"$11,642,254","$11,642,254",100%,-,-
77,Gross Anatomy,"$11,604,598","$11,604,598",100%,-,-
78,Police Academy 6: City Under Siege,"$11,567,217","$11,567,217",100%,-,-
79,Young Einstein,"$11,537,895","$11,536,599",100%,-,-
80,Who's Harry Crumb?,"$10,982,364","$10,982,364",100%,-,-
81,New York Stories,"$10,763,469","$10,763,469",100%,-,-
82,The Package,"$10,647,219","$10,647,219",100%,-,-
83,We're No Angels,"$10,555,348","$10,555,348",100%,-,-
84,Cyborg,"$10,166,459","$10,166,459",100%,-,-
85,Henry V,"$10,161,099","$10,161,099",100%,-,-
86,Criminal Law,"$9,974,446","$9,974,446",100%,-,-
87,Tap,"$9,114,702","$9,114,702",100%,-,-
88,Renegades,"$9,015,164","$9,015,164",100%,-,-
89,Scandal,"$8,800,000","$8,800,000",100%,-,-
90,True Believer,"$8,742,750","$8,742,750",100%,-,-
91,Troop Beverly Hills,"$8,508,843","$8,508,843",100%,-,-
92,Cheetah,"$8,153,677","$8,153,677",100%,-,-
93,DeepStar Six,"$8,143,225","$8,143,225",100%,-,-
94,Dead Bang,"$8,125,592","$8,125,592",100%,-,-
95,The Adventures of Baron Munchausen,"$8,083,123","$8,083,123",100%,-,-
96,Dead Calm,"$7,825,135","$7,825,009",100%,-,-
97,"Enemies, a Love Story","$7,754,571","$7,754,571",100%,-,-
98,Disorganized Crime,"$7,723,506","$7,723,506",100%,-,-
99,Johnny Handsome,"$7,237,794","$7,237,794",100%,-,-
100,Lawrence of Arabia 1989 Re-release,"$6,986,278","$6,986,278",100%,-,-
101,Relentless,"$6,985,999","$6,985,999",100%,-,-
102,Shag,"$6,957,975","$6,957,975",100%,-,-
103,Roger & Me,"$6,706,368","$6,706,368",100%,-,-
104,Music Box,"$6,263,883","$6,263,883",100%,-,-
105,UHF,"$6,157,157","$6,157,157",100%,-,-
106,Shirley Valentine,"$6,056,912","$6,056,912",100%,-,-
107,Immediate Family,"$5,932,613","$5,932,613",100%,-,-
108,Millennium,"$5,777,099","$5,777,099",100%,-,-
109,Dream a Little Dream,"$5,552,441","$5,552,441",100%,-,-
110,Second Sight,"$5,368,865","$5,368,865",100%,-,-
111,Let It Ride,"$4,973,285","$4,973,285",100%,-,-
112,See You in the Morning,"$4,795,009","$4,795,009",100%,-,-
113,Drugstore Cowboy,"$4,729,352","$4,729,352",100%,-,-
114,The January Man,"$4,611,062","$4,611,062",100%,-,-
115,The Mighty Quinn,"$4,557,214","$4,557,214",100%,-,-
116,Staying Together,"$4,348,025","$4,348,025",100%,-,-
117,Listen to Me,"$4,299,023","$4,299,023",100%,-,-
118,Red Scorpion,"$4,192,440","$4,192,440",100%,-,-
119,Loverboy,"$3,960,327","$3,960,327",100%,-,-
120,The Phantom of the Opera,"$3,953,745","$3,953,745",100%,-,-
121,Earth Girls Are Easy,"$3,916,303","$3,916,303",100%,-,-
122,A Dry White Season,"$3,766,879","$3,766,879",100%,-,-
123,Worth Winning,"$3,690,328","$3,690,328",100%,-,-
124,Old Gringo,"$3,574,256","$3,574,256",100%,-,-
125,Fat Man and Little Boy,"$3,563,162","$3,563,162",100%,-,-
126,Physical Evidence,"$3,560,932","$3,560,932",100%,-,-
127,In Country,"$3,531,971","$3,531,971",100%,-,-
128,Kinjite: Forbidden Subjects,"$3,416,846","$3,416,846",100%,-,-
129,Camille Claudel,"$3,331,676","$3,331,297",100%,-,-
130,Rude Awakening,"$3,169,719","$3,169,719",100%,-,-
131,Speed Zone,"$3,077,361","$3,077,361",100%,-,-
132,Fright Night Part 2,"$2,983,784","$2,983,784",100%,-,-
133,976-EVIL,"$2,955,917","$2,955,917",100%,-,-
134,The Adventures of Milo and Otis,"$2,948,215","$2,948,215",100%,-,-
135,Gleaming the Cube,"$2,777,280","$2,777,280",100%,-,-
136,Farewell to the King,"$2,420,917","$2,420,917",100%,-,-
137,Gone with the Wind 1989 Re-release,"$2,403,316","$2,403,316",100%,-,-
138,Chocolat,"$2,317,091","$2,317,091",100%,-,-
139,Sing,"$2,260,616","$2,260,616",100%,-,-
140,Scenes from the Class Struggle in Beverly Hills,"$2,156,471","$2,156,471",100%,-,-
141,Jacknife,"$2,049,769","$2,049,769",100%,-,-
142,Rooftops,"$2,043,889","$2,043,889",100%,-,-
143,Winter People,"$2,023,282","$2,023,282",100%,-,-
144,Erik the Viking,"$1,932,642","$1,932,642",100%,-,-
145,Communion,"$1,919,653","$1,919,653",100%,-,-
146,Breaking In,"$1,877,618","$1,877,618",100%,-,-
147,Cookie,"$1,869,417","$1,869,417",100%,-,-
148,Miss Firecracker,"$1,852,655","$1,852,655",100%,-,-
149,Bloodfist,"$1,770,082","$1,770,082",100%,-,-
150,House III: The Horror Show,"$1,738,897","$1,738,897",100%,-,-
151,Best of the Best,"$1,700,000","$1,700,000",100%,-,-
152,How I Got Into College,"$1,642,239","$1,642,239",100%,-,-
153,Stepfather II: Make Room for Daddy,"$1,519,796","$1,519,796",100%,-,-
154,The Simpsons: Family Portrait/Beat Dedication/Propagandance/Scaredy Cat!/Rarg/Knick Knack/Pencil Dance/Quinoscopio 2/Umbabarauma/Goodnight Norma... Goodnight Milton.../Tin Toy/25 Ways to Quit Smoking,"$1,487,606","$1,487,606",100%,-,-
155,True Love,"$1,354,268","$1,354,268",100%,-,-
156,The Navigator: A Medieval Odyssey,"$1,333,379","$1,333,379",100%,-,-
157,Romero,"$1,316,495","$1,316,495",100%,-,-
158,Babar: The Movie,"$1,305,187","$1,305,187",100%,-,-
159,Apartment Zero,"$1,267,578","$1,267,578",100%,-,-
160,Little Vera,"$1,262,598","$1,262,598",100%,-,-
161,Queen of Hearts,"$1,236,844","$1,236,844",100%,-,-
162,High Hopes,"$1,192,322","$1,192,322",100%,-,-
163,Murmur of the Heart,"$1,160,784","$1,160,784",100%,-,-
164,Miracle Mile,"$1,145,954","$1,145,404",100%,-,-
165,Valmont,"$1,132,112","$1,132,112",100%,-,-
166,Heathers,"$1,111,591","$1,108,462",99.7%,-,-
167,Heart of Dixie,"$1,097,333","$1,097,333",100%,-,-
168,Wired,"$1,089,000","$1,089,000",100%,-,-
169,The Music Teacher,"$1,086,894","$1,086,894",100%,-,-
170,Welcome Home,"$1,029,822","$1,029,822",100%,-,-
171,Pumpkinhead 1989 Re-release,"$1,000,000","$1,000,000",100%,-,-
172,Getting It Right,"$960,385","$960,385",100%,-,-
173,American Ninja 3: Blood Hunt,"$902,152","$902,152",100%,-,-
174,Parents,"$870,532","$870,532",100%,-,-
175,Crack House,"$862,551","$862,551",100%,-,-
176,The Terror Within,"$858,591","$858,591",100%,-,-
177,Little Monsters,"$793,775","$793,775",100%,-,-
178,The Toxic Avenger Part II,"$792,966","$792,966",100%,-,-
179,For All Mankind,"$770,366","$770,132",100%,-,-
180,The Girl in a Swing,"$747,013","$747,013",100%,-,-
181,Vampire's Kiss,"$726,501","$725,131",99.8%,-,-
182,"Distant Voices, Still Lives","$688,329","$688,329",100%,-,-
183,Wuthering Heights,"$624,643","$624,643",100%,-,-
184,The Wizard of Oz 1989 Re-release,"$612,300","$612,300",100%,-,-
185,Akira,"$566,052","$439,162",77.6%,"$126,890",22.4%
186,Eddie and the Cruisers II: Eddie Lives!,"$536,508","$536,508",100%,-,-
187,"Thelonious Monk: Straight, No Chaser","$518,918","$518,918",100%,-,-
188,Slaves of New York,"$463,972","$463,972",100%,-,-
189,The Rainbow,"$444,055","$444,055",100%,-,-
190,How to Get Ahead in Advertising,"$418,053","$418,053",100%,-,-
191,Triumph of the Spirit,"$408,839","$408,839",100%,-,-
192,The Toxic Avenger Part III: The Last Temptation of Toxie,"$363,561","$363,561",100%,-,-
193,Night Game,"$337,812","$337,812",100%,-,-
194,Crusoe,"$315,421","$315,421",100%,-,-
195,Out Cold,"$294,266","$294,266",100%,-,-
196,Powwow Highway,"$283,747","$283,747",100%,-,-
197,Kill Me Again,"$283,694","$283,694",100%,-,-
198,Heavy Petting,"$272,371","$272,371",100%,-,-
199,Paperhouse,"$241,278","$241,278",100%,-,-
200,Weapons of the Spirit,"$232,981","$232,981",100%,-,-
