rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Titanic,"$1,843,373,318","$600,683,057",32.6%,"$1,242,690,261",67.4%
2,Bean,"$251,212,670","$45,319,423",18%,"$205,893,247",82%
3,Men in Black,"$250,690,539","$250,690,539",100%,-,-
4,Batman & Robin,"$238,225,195","$107,325,195",45.1%,"$130,900,000",54.9%
5,The Lost World: Jurassic Park,"$229,086,679","$229,086,679",100%,-,-
6,Liar Liar,"$181,410,615","$181,410,615",100%,-,-
7,Air Force One,"$172,956,409","$172,956,409",100%,-,-
8,Speed 2: Cruise Control,"$164,508,066","$48,608,066",29.5%,"$115,900,000",70.5%
9,Star Wars: Episode IV - A New Hope 1997 Special Edition,"$160,703,600","$138,257,865",86%,"$22,445,735",14%
10,As Good as It Gets,"$148,478,011","$148,478,011",100%,-,-
11,Good Will Hunting,"$138,762,914","$138,433,435",99.8%,"$329,479",0.2%
12,My Best Friend's Wedding,"$127,131,755","$127,120,029",100%,-,-
13,Tomorrow Never Dies,"$125,304,452","$125,304,276",100%,-,-
14,The Full Monty,"$114,634,431","$45,950,122",40.1%,"$68,684,076",59.9%
15,Face/Off,"$112,277,322","$112,276,146",100%,-,-
16,George of the Jungle,"$105,263,257","$105,263,257",100%,-,-
17,Scream 2,"$101,363,940","$101,363,301",100%,-,-
18,Con Air,"$101,145,177","$101,117,573",100%,"$27,604",<0.1%
19,Contact,"$100,920,329","$100,920,329",100%,-,-
20,Hercules,"$99,112,101","$99,112,101",100%,-,-
21,Flubber,"$92,977,226","$92,977,226",100%,-,-
22,Star Wars: Episode VI - Return of the Jedi 1997 Special Edition,"$89,388,357","$45,470,437",50.9%,"$43,917,920",49.1%
23,Star Wars: Episode V - The Empire Strikes Back 1997 Special Edition,"$78,424,457","$67,597,694",86.2%,"$10,826,763",13.8%
24,Conspiracy Theory,"$75,982,834","$75,982,834",100%,-,-
25,I Know What You Did Last Summer,"$72,587,919","$72,586,134",100%,-,-
26,Dante's Peak,"$67,127,760","$67,127,760",100%,-,-
27,Anaconda,"$65,885,767","$65,885,767",100%,-,-
28,L.A. Confidential,"$64,617,381","$64,616,940",100%,-,-
29,In & Out,"$63,856,929","$63,856,929",100%,-,-
30,The Fifth Element,"$63,852,354","$63,820,180",99.9%,"$10,667",<0.1%
31,Mousehunt,"$61,917,389","$61,917,389",100%,-,-
32,The Saint,"$61,363,304","$61,363,304",100%,-,-
33,The Devil's Advocate,"$60,944,660","$60,944,660",100%,-,-
34,Kiss the Girls,"$60,527,873","$60,527,873",100%,-,-
35,Jungle 2 Jungle,"$59,927,618","$59,927,618",100%,-,-
36,Anastasia,"$58,406,347","$58,406,347",100%,-,-
