rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Three Men and a Baby,"$167,780,960","$167,780,960",100%,-,-
2,Fatal Attraction,"$156,645,756","$156,645,693",100%,-,-
3,Beverly Hills Cop II,"$153,665,036","$153,665,036",100%,-,-
4,"Good Morning, Vietnam","$123,922,794","$123,922,370",100%,$208,<0.1%
5,Moonstruck,"$80,643,047","$80,640,528",100%,-,-
6,The Untouchables,"$76,270,454","$76,270,454",100%,-,-
7,The Secret of My Success,"$66,995,879","$66,995,879",100%,-,-
8,Stakeout,"$65,673,233","$65,673,233",100%,-,-
9,Lethal Weapon,"$65,207,187","$65,207,127",100%,-,-
10,The Witches of Eastwick,"$63,767,428","$63,766,510",100%,-,-
11,Dirty Dancing,"$63,566,772","$63,446,382",99.8%,-,-
12,Predator,"$59,742,555","$59,735,548",100%,-,-
13,Throw Momma from the Train,"$57,915,972","$57,915,972",100%,-,-
14,Dragnet,"$57,387,516","$57,387,516",100%,-,-
15,La Bamba,"$54,215,416","$54,215,416",100%,-,-
16,RoboCop,"$53,427,454","$53,424,681",100%,-,-
17,Outrageous Fortune,"$52,864,741","$52,864,741",100%,-,-
18,Broadcast News,"$51,249,461","$51,249,404",100%,$57,<0.1%
19,The Living Daylights,"$51,186,196","$51,185,897",100%,-,-
20,Full Metal Jacket,"$50,873,928","$46,357,676",91.1%,"$4,506,860",8.9%
21,Eddie Murphy: Raw,"$50,505,289","$50,504,655",100%,-,-
22,"Planes, Trains & Automobiles","$49,530,552","$49,530,280",100%,$272,<0.1%
23,Snow White and the Seven Dwarfs 1987 Re-release,"$46,594,212","$46,594,212",100%,-,-
24,A Nightmare on Elm Street 3: Dream Warriors,"$44,793,222","$44,793,222",100%,-,-
25,The Last Emperor,"$43,988,557","$43,984,230",100%,-,-
26,Wall Street,"$43,848,069","$43,848,069",100%,-,-
27,Mannequin,"$42,721,196","$42,721,196",100%,-,-
28,Roxanne,"$40,050,884","$40,050,884",100%,-,-
29,Blind Date,"$39,321,715","$39,321,715",100%,-,-
30,The Running Man,"$38,123,906","$38,122,105",100%,-,-
31,Spaceballs,"$38,120,460","$38,119,483",100%,-,-
32,Summer School,"$35,659,098","$35,659,098",100%,-,-
33,No Way Out,"$35,509,515","$35,509,515",100%,-,-
34,Like Father Like Son,"$34,377,585","$34,377,585",100%,-,-
35,Adventures in Babysitting,"$34,368,475","$34,368,475",100%,-,-
36,Cinderella 1987 Re-release,"$34,101,149","$34,101,149",100%,-,-
37,*batteries not included,"$32,945,797","$32,945,797",100%,-,-
38,The Lost Boys,"$32,247,844","$32,222,567",99.9%,-,-
39,Can't Buy Me Love,"$31,623,833","$31,623,833",100%,-,-
40,The Princess Bride,"$30,978,666","$30,857,814",99.6%,-,-
41,Nuts,"$30,950,002","$30,950,002",100%,-,-
42,Superman IV: The Quest for Peace,"$30,281,020","$15,681,020",51.8%,"$14,600,000",48.2%
43,Revenge of the Nerds II: Nerds in Paradise,"$30,063,289","$30,063,289",100%,-,-
44,Harry and the Hendersons,"$29,760,613","$29,760,613",100%,-,-
45,Police Academy 4: Citizens on Patrol,"$28,061,343","$28,061,343",100%,-,-
46,Overboard,"$26,713,187","$26,713,187",100%,-,-
47,Baby Boom,"$26,712,476","$26,712,476",100%,-,-
48,Innerspace,"$25,893,810","$25,893,810",100%,-,-
49,Tin Men,"$25,411,386","$25,411,386",100%,-,-
50,Black Widow,"$25,205,460","$25,205,460",100%,-,-
51,Ernest Goes to Camp,"$23,509,382","$23,509,382",100%,-,-
52,Raising Arizona,"$22,848,609","$22,847,564",100%,-,-
53,Benji the Hunted,"$22,257,624","$22,257,624",100%,-,-
54,Empire of the Sun,"$22,238,696","$22,238,696",100%,-,-
55,Jaws: The Revenge,"$20,763,013","$20,763,013",100%,-,-
56,Hello Again,"$20,419,446","$20,419,446",100%,-,-
57,Critical Condition,"$20,240,502","$20,240,502",100%,-,-
58,The Principal,"$19,734,940","$19,734,940",100%,-,-
59,Suspect,"$18,782,400","$18,782,400",100%,-,-
60,The Believers,"$18,753,438","$18,753,438",100%,-,-
61,Some Kind of Wonderful,"$18,553,948","$18,553,948",100%,-,-
62,Project X,"$18,532,286","$18,532,286",100%,-,-
63,The Big Easy,"$17,685,307","$17,685,307",100%,-,-
64,The Aristocats 1987 Re-release,"$17,452,658","$17,452,658",100%,-,-
65,Born in East L.A.,"$17,355,263","$17,355,263",100%,-,-
66,Masters of the Universe,"$17,336,683","$17,336,370",100%,$313,<0.1%
67,Angel Heart,"$17,185,663","$17,185,632",100%,-,-
68,Burglar,"$16,337,355","$16,337,355",100%,-,-
69,Over the Top,"$16,057,580","$16,057,580",100%,-,-
70,Flowers in the Attic,"$15,151,736","$15,151,736",100%,-,-
71,Radio Days,"$14,792,779","$14,792,779",100%,-,-
72,Hellraiser,"$14,568,128","$14,564,027",100%,-,-
73,Ishtar,"$14,375,186","$14,375,181",100%,$5,<0.1%
74,Prince of Darkness,"$14,182,492","$14,182,492",100%,-,-
75,Creepshow 2,"$14,000,000","$14,000,000",100%,-,-
76,Hamburger Hill,"$13,839,404","$13,839,404",100%,-,-
77,The Gate,"$13,539,458","$13,539,458",100%,-,-
78,The Pick-up Artist,"$13,290,368","$13,290,368",100%,-,-
79,Back to the Beach,"$13,110,903","$13,110,903",100%,-,-
80,The Bedroom Window,"$12,640,385","$12,640,385",100%,-,-
