rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Star Wars: Episode V - The Empire Strikes Back,"$209,398,025","$209,398,025",100%,-,-
2,9 to 5,"$103,290,500","$103,290,500",100%,-,-
3,Stir Crazy,"$101,300,000","$101,300,000",100%,-,-
4,Airplane!,"$83,455,109","$83,453,539",100%,-,-
5,Any Which Way You Can,"$70,687,344","$70,687,344",100%,-,-
6,Private Benjamin,"$69,847,348","$69,847,348",100%,-,-
7,Coal Miner's Daughter,"$67,182,787","$67,182,787",100%,-,-
8,Smokey and the Bandit II,"$66,132,626","$66,132,626",100%,-,-
9,The Blue Lagoon,"$58,853,243","$58,853,106",100%,-,-
10,The Blues Brothers,"$57,263,162","$57,229,890",99.9%,$691,<0.1%
11,Ordinary People,"$54,766,923","$54,766,923",100%,-,-
12,Popeye,"$49,825,005","$49,823,037",100%,-,-
13,Urban Cowboy,"$46,918,287","$46,918,287",100%,-,-
14,The Shining,"$44,208,854","$44,017,374",99.6%,"$189,093",0.4%
15,Seems Like Old Times,"$43,995,918","$43,995,918",100%,-,-
16,Cheech and Chong's Next Movie,"$41,675,194","$41,675,194",100%,-,-
17,Caddyshack,"$39,846,344","$39,846,344",100%,-,-
18,Friday the 13th,"$39,761,854","$39,754,601",100%,-,-
19,Brubaker,"$37,121,708","$37,121,708",100%,-,-
20,Little Darlings,"$34,326,249","$34,326,249",100%,-,-
21,Dressed to Kill,"$31,900,256","$31,899,000",100%,-,-
22,The Jazz Singer,"$27,118,000","$27,118,000",100%,-,-
23,Flash Gordon,"$27,109,466","$27,107,960",100%,-,-
24,Lady and the Tramp 1980 Re-release,"$26,114,207","$26,114,207",100%,-,-
25,The Elephant Man,"$26,061,238","$26,010,864",99.8%,"$43,889",0.2%
26,Bronco Billy,"$24,265,659","$24,265,659",100%,-,-
27,Raging Bull,"$23,336,687","$23,334,953",100%,$915,<0.1%
28,Xanadu,"$22,765,338","$22,762,571",100%,-,-
29,American Gigolo,"$22,743,674","$22,743,674",100%,-,-
30,My Bodyguard,"$22,482,952","$22,482,952",100%,-,-
31,The Fog,"$21,378,361","$21,378,361",100%,-,-
32,Fame,"$21,203,532","$21,202,829",100%,-,-
33,Tess,"$20,093,330","$20,093,330",100%,-,-
34,Altered States,"$19,853,898","$19,853,892",100%,$6,<0.1%
35,Song of the South,"$19,800,000","$19,800,000",100%,-,-
36,Cruising,"$19,785,014","$19,784,223",100%,-,-
37,The Octagon,"$18,971,000","$18,971,000",100%,-,-
38,Honeysuckle Rose,"$17,815,212","$17,815,212",100%,-,-
39,Herbie Goes Bananas,"$17,000,000","$17,000,000",100%,-,-
40,Rough Cut,"$16,656,125","$16,656,125",100%,-,-
41,The Final Countdown,"$16,647,800","$16,647,800",100%,-,-
42,The Hunter,"$16,274,150","$16,274,150",100%,-,-
43,Hero at Large,"$15,934,737","$15,934,737",100%,-,-
44,The Long Riders,"$15,795,189","$15,795,189",100%,-,-
45,The Island,"$15,716,828","$15,716,828",100%,-,-
46,Close Encounters of the Third Kind 1980 Special Edition,"$15,693,175","$15,693,175",100%,-,-
47,First Family,"$15,198,912","$15,198,912",100%,-,-
48,Prom Night,"$14,796,236","$14,796,236",100%,-,-
49,The Nude Bomb,"$14,662,035","$14,662,035",100%,-,-
50,"Oh, God! Book II","$14,504,277","$14,504,277",100%,-,-
51,The Competition,"$14,287,755","$14,287,755",100%,-,-
52,Wholly Moses!,"$14,155,617","$14,155,617",100%,-,-
53,Mary Poppins 1980 Re-release,"$14,000,000","$14,000,000",100%,-,-
54,The Last Married Couple in America,"$12,835,544","$12,835,544",100%,-,-
55,Used Cars,"$11,715,321","$11,715,321",100%,-,-
56,The Mirror Crack'd,"$11,000,657","$11,000,000",100%,$657,<0.1%
57,The Last Flight of Noah's Ark,"$11,000,000","$11,000,000",100%,-,-
58,The Fiendish Plot of Dr. Fu Manchu,"$10,697,276","$10,697,276",100%,-,-
59,Stardust Memories,"$10,389,003","$10,389,003",100%,-,-
60,The Hollywood Knights,"$10,000,000","$10,000,000",100%,-,-
61,Serial,"$9,870,727","$9,870,727",100%,-,-
62,Somewhere in Time,"$9,709,597","$9,709,597",100%,-,-
63,Saturn 3,"$9,000,000","$9,000,000",100%,-,-
64,Tribute,"$9,000,000","$9,000,000",100%,-,-
65,The Formula,"$8,894,289","$8,894,289",100%,-,-
66,Mad Max,"$8,750,081","$8,750,000",100%,-,-
67,Battle Creek Brawl,"$8,527,743","$8,527,743",100%,-,-
68,The Awakening,"$8,415,112","$8,415,112",100%,-,-
69,Fatso,"$7,653,061","$7,653,061",100%,-,-
70,How to Become a Detective,"$7,500,000","$7,500,000",100%,-,-
71,How to Beat the High Cost of Living,"$7,500,000","$7,500,000",100%,-,-
72,Foxes,"$7,470,348","$7,470,348",100%,-,-
73,The Big Red One,"$7,206,220","$7,206,220",100%,-,-
74,The Stunt Man,"$7,063,886","$7,063,886",100%,-,-
75,Where the Buffalo Roam,"$6,659,377","$6,659,377",100%,-,-
76,The Gong Show Movie,"$6,621,520","$6,621,520",100%,-,-
77,Motel Hell,"$6,342,668","$6,342,668",100%,-,-
78,Little Miss Marker,"$6,321,392","$6,321,392",100%,-,-
79,Oh Heavenly Dog,"$6,216,067","$6,216,067",100%,-,-
80,Divine Madness,"$5,318,098","$5,318,098",100%,-,-
81,In God We Trust (or Gimme That Prime Time Religion),"$5,215,015","$5,215,015",100%,-,-
82,He Knows You're Alone,"$4,875,436","$4,875,436",100%,-,-
83,Coast to Coast,"$4,495,445","$4,495,445",100%,-,-
84,Melvin and Howard,"$4,309,490","$4,309,490",100%,-,-
85,Roadie,"$4,226,370","$4,226,370",100%,-,-
86,Gloria,"$4,061,941","$4,059,673",99.9%,-,-
87,Jaws 2 1980 Re-release,"$4,028,735","$4,028,735",100%,-,-
88,Kagemusha: The Shadow Warrior,"$4,001,070","$4,000,000",100%,"$1,070",<0.1%
89,Resurrection,"$3,910,019","$3,910,019",100%,-,-
90,Hide in Plain Sight,"$3,806,930","$3,806,930",100%,-,-
91,Guyana: Cult of the Damned,"$3,798,102","$3,798,102",100%,-,-
92,When Time Ran Out...,"$3,763,988","$3,763,988",100%,-,-
93,Heaven's Gate,"$3,484,331","$3,484,331",100%,-,-
94,North Sea Hijack,"$2,993,772","$2,993,772",100%,-,-
95,Midnight Madness,"$2,900,000","$2,900,000",100%,-,-
96,Loving Couples,"$2,806,659","$2,806,659",100%,-,-
97,The Idolmaker,"$2,625,716","$2,625,716",100%,-,-
98,The Black Marble,"$2,500,000","$2,500,000",100%,-,-
99,Gilda Live,"$2,261,507","$2,261,507",100%,-,-
100,Windows,"$2,128,395","$2,128,395",100%,-,-
101,Just Tell Me What You Want,"$2,086,905","$2,086,905",100%,-,-
102,"Bon Voyage, Charlie Brown (and Don't Come Back!!)","$2,013,193","$2,013,193",100%,-,-
103,Carny,"$1,817,720","$1,817,720",100%,-,-
104,When a Stranger Calls 1980 Re-release,"$1,262,052","$1,262,052",100%,-,-
105,Why Would I Lie?,"$1,175,855","$1,175,855",100%,-,-
106,Nijinsky,"$1,047,454","$1,047,454",100%,-,-
107,Heart Beat,"$954,046","$954,046",100%,-,-
108,One-Trick Pony,"$843,215","$843,215",100%,-,-
109,"Those Lips, Those Eyes","$804,713","$804,713",100%,-,-
110,A Small Circle of Friends,"$766,760","$766,760",100%,-,-
111,Leo and Loree,"$517,988","$517,988",100%,-,-
112,Home Movies,"$89,134","$89,134",100%,-,-
113,Phobia,"$59,167","$59,167",100%,-,-
114,Stalker 2019 Re-release,"$54,559",-,-,"$32,636",59.8%
115,Breaking Glass,"$2,471","$2,471",100%,-,-
116,Breaker Morant,$948,-,-,-,-
117,The Changeling,$147,-,-,$147,100%
118,My Brilliant Career,$107,-,-,-,-
