rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Who Framed Roger Rabbit,"$238,094,330","$156,452,370",65.7%,"$81,639,668",34.3%
2,Rain Man,"$172,835,580","$172,825,435",100%,"$10,145",<0.1%
3,Coming to America,"$128,152,333","$128,152,301",100%,-,-
4,Big,"$114,968,970","$114,968,774",100%,$122,<0.1%
5,Twins,"$111,938,388","$111,938,388",100%,-,-
6,Crocodile Dundee II,"$109,306,210","$109,306,210",100%,-,-
7,Die Hard,"$83,088,552","$83,008,852",99.9%,"$14,188",<0.1%
8,The Naked Gun: From the Files of Police Squad!,"$78,756,177","$78,756,177",100%,-,-
9,Cocktail,"$78,222,753","$78,222,753",100%,-,-
10,Beetlejuice,"$73,720,082","$73,707,461",100%,"$2,099",<0.1%
11,Working Girl,"$63,779,477","$63,779,477",100%,-,-
12,A Fish Called Wanda,"$62,493,712","$62,493,712",100%,-,-
13,Scrooged,"$60,328,558","$60,328,558",100%,-,-
14,Willow,"$57,270,547","$57,269,863",100%,-,-
15,Beaches,"$57,041,866","$57,041,866",100%,-,-
16,Rambo III,"$53,715,611","$53,715,611",100%,-,-
17,Oliver & Company,"$53,279,055","$53,279,055",100%,-,-
18,Bull Durham,"$50,888,729","$50,888,729",100%,-,-
19,A Nightmare on Elm Street 4: The Dream Master,"$49,369,899","$49,369,899",100%,-,-
20,The Land Before Time,"$48,478,716","$48,478,716",100%,-,-
21,Colors,"$46,616,710","$46,616,067",100%,-,-
22,Young Guns,"$45,661,556","$45,661,556",100%,-,-
23,Biloxi Blues,"$43,184,798","$43,184,798",100%,-,-
24,Dirty Rotten Scoundrels,"$42,039,085","$42,039,085",100%,-,-
25,The Great Outdoors,"$41,455,230","$41,455,230",100%,-,-
26,Tequila Sunrise,"$41,292,551","$41,292,551",100%,-,-
27,Big Business,"$40,150,487","$40,150,487",100%,-,-
28,Bambi 1988 Re-release,"$39,047,150","$39,047,150",100%,-,-
29,Midnight Run,"$38,413,606","$38,413,606",100%,-,-
30,The Dead Pool,"$37,903,295","$37,903,295",100%,-,-
31,Red Heat,"$34,994,648","$34,994,648",100%,-,-
32,Dangerous Liaisons,"$34,670,720","$34,670,720",100%,-,-
33,Mississippi Burning,"$34,603,943","$34,603,943",100%,-,-
34,Child's Play,"$33,401,286","$33,244,684",99.5%,"$154,212",0.5%
35,The Accidental Tourist,"$32,632,093","$32,632,093",100%,-,-
36,The Accused,"$32,078,318","$32,078,318",100%,-,-
37,Shoot to Kill,"$29,300,090","$29,300,090",100%,-,-
38,Ernest Saves Christmas,"$28,202,109","$28,202,109",100%,-,-
39,Betrayed,"$25,816,139","$25,816,139",100%,-,-
40,Funny Farm,"$25,537,221","$25,537,221",100%,-,-
41,Alien Nation,"$25,216,243","$25,216,243",100%,-,-
42,Gorillas in the Mist,"$24,720,479","$24,720,479",100%,-,-
43,The Fox and the Hound 1988 Re-release,"$23,556,988","$23,556,988",100%,-,-
44,License to Drive,"$22,433,275","$22,433,275",100%,-,-
45,Short Circuit 2,"$21,630,088","$21,630,088",100%,-,-
46,Married to the Mob,"$21,486,757","$21,486,757",100%,-,-
47,Punchline,"$21,042,667","$21,042,667",100%,-,-
48,The Presidio,"$20,324,096","$20,324,096",100%,-,-
49,Action Jackson,"$20,256,975","$20,256,975",100%,-,-
50,Tucker: The Man and His Dream,"$19,652,638","$19,652,638",100%,-,-
51,The Serpent and the Rainbow,"$19,595,031","$19,595,031",100%,-,-
52,Police Academy 5: Assignment: Miami Beach,"$19,510,371","$19,510,371",100%,-,-
53,Friday the 13th: The New Blood,"$19,170,001","$19,170,001",100%,-,-
54,Cocoon: The Return,"$18,924,919","$18,924,919",100%,-,-
55,The Seventh Sign,"$18,875,011","$18,875,011",100%,-,-
56,Above the Law,"$18,869,631","$18,869,631",100%,-,-
57,Halloween 4: The Return of Michael Myers,"$17,768,757","$17,768,757",100%,-,-
58,Frantic,"$17,637,950","$17,637,950",100%,-,-
59,Johnny Be Good,"$17,550,399","$17,550,399",100%,-,-
60,For Keeps?,"$17,514,553","$17,514,553",100%,-,-
61,Crossing Delancey,"$16,262,415","$16,262,415",100%,-,-
62,"Bright Lights, Big City","$16,118,077","$16,118,077",100%,-,-
63,She's Having a Baby,"$16,031,707","$16,031,707",100%,-,-
64,Masquerade,"$15,855,828","$15,855,828",100%,-,-
65,Big Top Pee-wee,"$15,122,324","$15,122,324",100%,-,-
66,Arthur 2: On the Rocks,"$14,681,192","$14,681,192",100%,-,-
67,School Daze,"$14,545,844","$14,545,844",100%,-,-
68,Poltergeist III,"$14,114,488","$14,114,488",100%,-,-
69,Stand and Deliver,"$13,994,920","$13,994,920",100%,-,-
70,My Stepmother Is an Alien,"$13,854,000","$13,854,000",100%,-,-
71,The Milagro Beanfield War,"$13,825,794","$13,825,794",100%,-,-
72,Return to Snowy River,"$13,687,027","$13,687,027",100%,-,-
73,Vice Versa,"$13,664,060","$13,664,060",100%,-,-
74,They Live,"$13,447,978","$13,447,978",100%,-,-
75,I'm Gonna Git You Sucka,"$13,030,057","$13,030,057",100%,-,-
76,Mystic Pizza,"$12,793,213","$12,793,213",100%,-,-
77,D.O.A.,"$12,706,478","$12,706,478",100%,-,-
78,Everybody's All-American,"$12,638,294","$12,638,294",100%,-,-
79,Casual Sex?,"$12,277,096","$12,277,096",100%,-,-
80,Hellbound: Hellraiser II,"$12,090,735","$12,090,735",100%,-,-
81,Bloodsport,"$11,806,119","$11,806,119",100%,-,-
82,Caddyshack II,"$11,798,302","$11,798,302",100%,-,-
83,Moon Over Parador,"$11,444,204","$11,444,204",100%,-,-
84,Moving,"$11,075,006","$10,815,378",97.7%,"$259,628",2.3%
85,The Couch Trip,"$11,005,304","$11,005,304",100%,-,-
86,Iron Eagle II,"$10,497,324","$10,497,324",100%,-,-
87,Shakedown,"$10,068,039","$10,068,039",100%,-,-
88,The Unbearable Lightness of Being,"$10,006,806","$10,006,806",100%,-,-
89,Bad Dreams,"$9,797,098","$9,797,098",100%,-,-
90,Return of the Living Dead II,"$9,207,551","$9,205,924",100%,-,-
91,Switching Channels,"$9,129,999","$9,129,999",100%,-,-
92,Salsa,"$8,892,589","$8,892,589",100%,-,-
93,Clean and Sober,"$8,674,093","$8,674,093",100%,-,-
94,U2: Rattle and Hum,"$8,600,823","$8,600,823",100%,-,-
95,High Spirits,"$8,578,231","$8,578,231",100%,-,-
96,Without a Clue,"$8,539,181","$8,539,181",100%,-,-
97,The Last Temptation of Christ,"$8,373,981","$8,373,585",100%,$39,<0.1%
98,Satisfaction,"$8,253,123","$8,253,123",100%,-,-
99,The Blob,"$8,248,210","$8,247,943",100%,-,-
100,Dead Ringers,"$8,039,444","$8,038,508",100%,$248,<0.1%
101,A New Life,"$7,721,852","$7,721,852",100%,-,-
