rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Pegasus 3,"$599,266,655","$1,374,946",0.2%,"$597,891,709",99.8%
2,Wuthering Heights,"$227,081,485","$82,681,485",36.4%,"$144,400,000",63.6%
3,Hoppers,"$177,451,420","$99,392,779",56%,"$78,058,641",44%
4,Scream 7,"$176,660,936","$109,523,309",62%,"$67,137,627",38%
5,Blades of the Guardians,"$168,462,054","$1,562,054",0.9%,"$166,900,000",99.1%
6,GOAT,"$165,484,539","$93,284,539",56.4%,"$72,200,000",43.6%
7,Scare Out,"$160,000,000",-,-,"$160,000,000",100%
8,Boonie Bears: The Hidden Protector,"$139,300,000",-,-,"$139,300,000",100%
9,Send Help,"$93,632,787","$64,326,101",68.7%,"$29,306,686",31.3%
10,The Man Who Lives with the King,"$89,783,482","$2,396,936",2.7%,"$87,386,546",97.3%
11,Crime 101,"$67,400,744","$36,000,744",53.4%,"$31,400,000",46.6%
12,28 Years Later: The Bone Temple,"$57,850,660","$25,147,583",43.5%,"$32,703,077",56.5%
13,Mercy,"$54,310,041","$24,390,303",44.9%,"$29,919,738",55.1%
14,Iron Lung,"$49,967,488","$40,851,941",81.8%,"$9,115,547",18.2%
15,Shelter,"$48,148,603","$12,805,541",26.6%,"$35,343,062",73.4%
16,Return to Silent Hill,"$47,372,051","$5,544,971",11.7%,"$41,827,080",88.3%
17,Marsupilami,"$44,742,026",-,-,"$44,742,026",100%
18,Greenland 2: Migration,"$44,579,387","$17,770,308",39.9%,"$26,809,079",60.1%
19,Primate,"$41,562,111","$25,635,665",61.7%,"$15,926,446",38.3%
20,Reminders of Him,"$34,179,495","$23,743,285",69.5%,"$10,436,210",30.5%
21,Night King,"$26,700,000",-,-,"$26,700,000",100%
22,Solo Mio,"$25,940,967","$25,578,337",98.6%,"$362,630",1.4%
23,Skazka o tsare Saltane,"$25,170,770",-,-,"$25,170,770",100%
24,Until We Meet Again,"$23,933,362",-,-,"$23,933,362",100%
25,Stray Kids: The dominATE Experience,"$23,465,818","$7,232,818",30.8%,"$16,233,000",69.2%
26,EPiC: Elvis Presley in Concert,"$22,436,904","$12,544,904",55.9%,"$9,892,000",44.1%
27,Extrawurst,"$21,927,663",-,-,"$21,927,663",100%
28,The Bride!,"$21,437,765","$12,137,765",56.6%,"$9,300,000",43.4%
29,I Can Only Imagine 2,"$18,133,777","$18,006,329",99.3%,"$127,448",0.7%
30,Melania,"$16,650,069","$16,357,453",98.2%,"$292,616",1.8%
31,Little Rabbit,"$16,530,400",-,-,"$16,530,400",100%
32,Guru,"$16,187,684",-,-,"$16,187,684",100%
33,Hypnosismic -Division Rap Battle- Rule the Stage -Battle of Pride 2023,"$15,069,212","$58,276",0.4%,"$15,010,936",99.6%
34,Mobile Suit Gundam Hathaway: The Sorcery of Nymph Circe,"$14,757,110",-,-,"$14,757,110",100%
35,Humint,"$13,314,648",-,-,"$13,314,648",100%
36,Kyojo: Requiem,"$13,201,739",-,-,"$13,201,739",100%
37,The Three Investigators: Isle of Death,"$12,798,810",-,-,"$12,798,810",100%
38,"Ach, diese Lücke, diese entsetzliche Lücke","$12,749,338",-,-,"$12,749,338",100%
39,Svadba,"$12,724,696",-,-,"$12,724,696",100%
40,Doraemon: Nobita and the New Castle of the Undersea Devil,"$11,862,097",-,-,"$11,862,097",100%
41,How to Make a Killing,"$11,420,737","$7,739,597",67.8%,"$3,681,140",32.2%
42,Woodwalkers 2,"$10,516,952",-,-,"$10,516,952",100%
43,Children of the Resistance,"$9,880,479",-,-,"$9,880,479",100%
44,The Money Maker,"$9,412,004",-,-,"$9,412,004",100%
45,Undertone,"$9,339,663","$9,339,663",100%,-,-
46,The Strangers: Chapter 3,"$9,284,369","$8,560,986",92.2%,"$723,383",7.8%
47,"Good Luck, Have Fun, Don't Die","$9,238,514","$8,380,237",90.7%,"$858,277",9.3%
48,The Lord of the Rings: The Return of the King 2026  Re-release,"$8,344,438","$3,971,340",47.6%,"$4,350,620",52.1%
49,Checker Tobi 3: Die heimliche Herrscherin der Erde,"$8,017,475",-,-,"$8,017,475",100%
50,Torrente for President,"$8,000,000",-,-,"$8,000,000",100%
51,The Things Left Unspoken,"$7,864,546",-,-,"$7,864,546",100%
52,Gintama: Yoshiwara in Flames,"$7,775,909",-,-,"$7,775,909",100%
53,LOL 2.0,"$7,493,224",-,-,"$7,493,224",100%
54,The Wizard of the Kremlin,"$7,144,421",-,-,"$7,144,421",100%
55,The Lord of the Rings: The Fellowship of the Ring 2026  Re-release,"$7,001,066","$5,940,331",84.8%,"$1,006,105",14.4%
56,Cosmic Princess Kaguya!,"$6,989,140",-,-,"$6,989,140",100%
57,Aida: The Movie,"$5,968,387","$217,000",3.6%,"$5,751,387",96.4%
58,Twenty One Pilots: More Than We Ever Imagined,"$5,837,953","$4,300,000",73.7%,"$1,537,953",26.3%
59,Bendito Corazon,"$5,794,111","$2,997,508",51.7%,"$2,796,603",48.3%
60,Chers parents,"$5,437,998",-,-,"$5,437,998",100%
61,D.I.S.C.O.,"$5,407,049",-,-,"$5,407,049",100%
62,The Lord of the Rings: The Two Towers 2026  Re-release,"$5,376,465","$4,093,642",76.1%,"$1,282,823",23.9%
63,Will You Be My Girlfriend?.,"$5,180,744",-,-,"$5,180,744",100%
64,The Moment,"$5,046,553","$3,886,271",77%,"$1,160,282",23%
65,Blood Paradise,"$4,856,164",-,-,"$4,856,164",100%
66,The American Dream,"$4,551,883",-,-,"$4,551,883",100%
67,City Boys: Golden Boyz,"$4,320,596",-,-,"$4,320,596",100%
68,Agata Christian: Crime on the Snow,"$4,268,352",-,-,"$4,268,352",100%
69,A Room Called Home,"$4,221,826",-,-,"$4,221,826",100%
70,Krasavitsa,"$4,197,232",-,-,"$4,197,232",100%
71,That Time I Got Reincarnated as a Slime the Movie: Tears of the Azure Sea,"$4,130,790",-,-,"$4,130,790",100%
72,Nirvanna the Band the Show the Movie,"$4,087,357","$3,803,980",93.1%,"$283,377",6.9%
73,A Gift from Heaven,"$3,958,093",-,-,"$3,958,093",100%
74,We Bury the Dead,"$3,883,672","$3,711,918",95.6%,"$171,754",4.4%
75,Cold Storage,"$3,770,001","$1,529,234",40.6%,"$2,240,767",59.4%
76,A Beautiful Day,"$3,721,853",-,-,"$3,721,853",100%
77,Levsha,"$3,720,170",-,-,"$3,720,170",100%
78,2026 Oscar Nominated Short Films,"$3,637,795","$3,637,795",100%,-,-
79,L'infiltrée,"$3,626,906",-,-,"$3,626,906",100%
80,The Frog Princess 2,"$3,563,869",-,-,"$3,563,869",100%
81,Whistle,"$3,511,947","$1,250,972",35.6%,"$2,260,975",64.4%
82,Abuela Tremenda,"$3,482,323",-,-,"$3,482,323",100%
83,Les Légendaires,"$3,208,487",-,-,"$3,208,487",100%
84,Kardes Takimi 3,"$3,184,780",-,-,"$3,184,780",100%
85,Novaya tyoshcha,"$3,175,652",-,-,"$3,175,652",100%
86,Kobikicho no Adauchi,"$3,149,067",-,-,"$3,149,067",100%
87,Ein fast perfekter Antrag,"$3,053,402",-,-,"$3,053,402",100%
88,Dragoste la tara,"$3,034,365",-,-,"$3,034,365",100%
89,Efes'in Sirri,"$2,783,009",-,-,"$2,783,009",100%
90,Mother's Pride,"$2,687,399",-,-,"$2,687,399",100%
91,The Specials,"$2,683,696",-,-,"$2,683,696",100%
92,Clika,"$2,644,377","$2,644,377",100%,-,-
93,Psycho Killer,"$2,555,070","$2,555,070",100%,-,-
94,Dead Man's Wire,"$2,504,453","$2,236,813",89.3%,"$267,640",10.7%
95,2 cuori e 2 capanne,"$2,466,899",-,-,"$2,466,899",100%
96,Idols,"$2,434,516",-,-,"$2,434,516",100%
97,Die Ältern,"$2,433,697",-,-,"$2,433,697",100%
98,Lavoreremo da grandi,"$2,394,150",-,-,"$2,394,150",100%
99,Band Together,"$2,368,299",-,-,"$2,368,299",100%
100,Heaven: A Letter to My Mother,"$2,362,160",-,-,"$2,362,160",100%
101,Korol i Shut. Navsegda,"$2,339,039",-,-,"$2,339,039",100%
102,Golden Kamuy: Assault on Abashiri Prison,"$2,307,685",-,-,"$2,307,685",100%
103,H Is for Hawk,"$2,295,335","$328,748",14.3%,"$1,966,587",85.7%
104,Enhypen: Walk the Line Summer Edition - in Cinemas,"$2,157,426","$1,149,451",53.3%,"$1,007,975",46.7%
105,Con Ke Ba Nghe,"$2,131,544",-,-,"$2,131,544",100%
106,At Work,"$2,106,925",-,-,"$2,106,925",100%
107,2026 Oscar Nominated Short Films: Animation,"$2,087,582","$2,087,582",100%,-,-
108,The Lord of the Rings: The Return of the King 2025 Re-release,"$2,066,297","$1,126,085",54.5%,"$937,403",45.4%
109,"Shinbi's Haunted House: 10th anniversary Movie: One more time, summoning","$2,057,037",-,-,"$2,057,037",100%
110,I Was a Stranger,"$2,045,891","$2,008,686",98.2%,"$37,205",1.8%
111,Border 2,"$2,021,266",-,-,"$2,021,266",100%
112,Prendiamoci una pausa,"$2,016,401",-,-,"$2,016,401",100%
113,Ginga Tokkyuu Milky Subway Kakueki Teisha Gekijou Iki,"$1,974,753",-,-,"$1,974,753",100%
114,BE:the One - Start Beyond Dreams,"$1,960,818",-,-,"$1,960,818",100%
115,A Place for Her,"$1,873,893",-,-,"$1,873,893",100%
116,The Snowball on a Sunny Day,"$1,858,675",-,-,"$1,858,675",100%
117,Tai,"$1,842,992",-,-,"$1,842,992",100%
118,The Pout-Pout Fish,"$1,835,928",-,-,"$1,835,928",100%
119,Maigret in Society,"$1,822,203",-,-,"$1,822,203",100%
120,"Furcy, né libre","$1,805,792",-,-,"$1,805,792",100%
121,Number One,"$1,784,478",-,-,"$1,784,478",100%
122,Summer Beats,"$1,695,288",-,-,"$1,695,288",100%
123,Kiki's Delivery Service 2026 Re-release,"$1,676,999","$1,676,999",100%,-,-
