rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Out of Africa,"$224,260,502","$87,071,205",38.8%,"$137,188,277",61.2%
2,Back to the Future,"$222,672,415","$212,326,307",95.4%,"$10,344,085",4.6%
3,Rambo: First Blood Part II,"$150,415,432","$150,415,432",100%,-,-
4,Rocky IV,"$127,899,161","$127,873,716",100%,"$17,637",<0.1%
5,The Color Purple,"$94,175,854","$94,175,854",100%,-,-
6,Cocoon,"$76,113,124","$76,113,124",100%,-,-
7,The Jewel of the Nile,"$75,973,200","$75,973,200",100%,-,-
8,Witness,"$68,706,993","$68,706,993",100%,-,-
9,The Goonies,"$61,434,517","$61,389,680",99.9%,"$2,770",<0.1%
10,Spies Like Us,"$60,088,980","$60,088,980",100%,-,-
11,Police Academy 2: Their First Assignment,"$55,600,000","$55,600,000",100%,-,-
12,Fletch,"$50,612,888","$50,612,888",100%,-,-
13,A View to a Kill,"$50,328,158","$50,327,960",100%,-,-
14,National Lampoon's European Vacation,"$49,364,621","$49,364,621",100%,-,-
15,Mask,"$48,230,162","$48,230,162",100%,-,-
16,The Breakfast Club,"$45,881,216","$45,875,171",100%,-,-
17,White Nights,"$42,160,849","$42,160,849",100%,-,-
18,Pale Rider,"$41,410,568","$41,410,568",100%,-,-
19,Pee-wee's Big Adventure,"$40,941,948","$40,940,662",100%,-,-
20,Brewster's Millions,"$40,833,132","$40,833,132",100%,-,-
21,E.T. the Extra-Terrestrial 1985 Re-release,"$40,732,692","$40,607,502",99.7%,"$125,190",0.3%
22,Jagged Edge,"$40,491,165","$40,491,165",100%,-,-
23,St. Elmo's Fire,"$37,803,872","$37,803,872",100%,-,-
24,Mad Max Beyond Thunderdome,"$36,231,488","$36,230,219",100%,-,-
25,Commando,"$35,104,722","$35,100,000",100%,-,-
26,Teen Wolf,"$33,087,306","$33,086,611",100%,-,-
27,One Hundred and One Dalmatians 1985 Re-release,"$33,049,729","$33,049,729",100%,-,-
28,Silverado,"$32,192,570","$32,192,570",100%,-,-
29,Murphy's Romance,"$30,867,525","$30,867,525",100%,-,-
30,A Nightmare on Elm Street 2: Freddy's Revenge,"$29,999,213","$29,999,213",100%,-,-
31,Desperately Seeking Susan,"$27,406,225","$27,398,584",100%,-,-
32,Prizzi's Honor,"$26,657,534","$26,657,534",100%,-,-
33,The Last Dragon,"$25,755,277","$25,754,284",100%,$749,<0.1%
34,Agnes of God,"$25,627,836","$25,627,836",100%,-,-
35,Fright Night,"$24,923,932","$24,922,237",100%,-,-
36,Summer Rental,"$24,689,703","$24,689,703",100%,-,-
37,The Emerald Forest,"$24,468,550","$24,468,550",100%,-,-
38,Weird Science,"$23,834,412","$23,834,048",100%,-,-
39,Santa Claus,"$23,717,844","$23,717,291",100%,-,-
40,The Care Bears Movie,"$22,934,622","$22,934,622",100%,-,-
41,Friday the 13th: A New Beginning,"$21,930,715","$21,930,418",100%,-,-
42,The Black Cauldron,"$21,288,965","$21,288,692",100%,-,-
43,Porky's Revenge,"$20,518,905","$20,518,905",100%,-,-
44,Code of Silence,"$20,345,361","$20,345,361",100%,-,-
45,Volunteers,"$19,875,740","$19,875,740",100%,-,-
46,Young Sherlock Holmes,"$19,739,575","$19,739,575",100%,-,-
47,Year of the Dragon,"$18,707,466","$18,707,466",100%,-,-
48,Ladyhawke,"$18,432,150","$18,432,000",100%,-,-
49,The Sure Thing,"$18,135,531","$18,135,531",100%,-,-
50,Invasion U.S.A.,"$17,536,256","$17,536,256",100%,-,-
51,To Live and Die in L.A.,"$17,311,922","$17,307,019",100%,-,-
52,The Falcon and the Snowman,"$17,130,087","$17,130,087",100%,-,-
53,Kiss of the Spider Woman,"$17,005,229","$17,005,229",100%,-,-
54,Death Wish 3,"$16,116,878","$16,116,878",100%,-,-
55,King Solomon's Mines,"$15,057,465","$15,057,465",100%,-,-
56,Baby: Secret of the Lost Legend,"$14,972,297","$14,972,297",100%,-,-
57,Clue,"$14,645,679","$14,643,997",100%,-,-
58,Remo: Unarmed and Dangerous,"$14,393,902","$14,393,902",100%,-,-
59,The Return of the Living Dead,"$14,240,787","$14,237,880",100%,-,-
60,A Chorus Line,"$14,203,951","$14,202,899",100%,-,-
61,Tomboy,"$14,100,000","$14,100,000",100%,-,-
62,Follow That Bird,"$13,962,404","$13,961,370",100%,-,-
63,One Magic Christmas,"$13,677,222","$13,677,222",100%,-,-
64,Cat's Eye,"$13,086,298","$13,086,298",100%,-,-
65,Vision Quest,"$12,993,175","$12,993,175",100%,-,-
66,Real Genius,"$12,952,019","$12,952,019",100%,-,-
67,Perfect,"$12,918,858","$12,918,858",100%,-,-
68,Compromising Positions,"$12,531,831","$12,531,831",100%,-,-
69,Silver Bullet,"$12,361,866","$12,361,866",100%,-,-
70,Enemy Mine,"$12,303,411","$12,303,411",100%,-,-
71,Lifeforce,"$11,603,545","$11,603,545",100%,-,-
72,Just One of the Guys,"$11,528,900","$11,528,900",100%,-,-
73,Star Wars: Episode VI - Return of the Jedi 1985 Re-release,"$11,252,123","$11,252,123",100%,-,-
74,Return to Oz,"$11,140,134","$11,137,801",100%,-,-
75,Krush Groove,"$11,052,713","$11,052,713",100%,-,-
76,Gotcha!,"$10,806,919","$10,806,919",100%,-,-
77,Missing in Action 2: The Beginning,"$10,755,447","$10,755,447",100%,-,-
78,The Purple Rose of Cairo,"$10,631,333","$10,631,333",100%,-,-
79,Moving Violations,"$10,627,754","$10,627,754",100%,-,-
80,After Hours,"$10,613,286","$10,609,321",100%,-,-
81,American Ninja,"$10,499,694","$10,499,694",100%,-,-
82,Better Off Dead,"$10,297,601","$10,297,601",100%,-,-
83,Lost in America,"$10,179,000","$10,179,000",100%,-,-
84,Once Bitten,"$10,000,000","$10,000,000",100%,-,-
85,Brazil,"$9,932,279","$9,929,135",100%,-,-
86,Explorers,"$9,873,044","$9,873,044",100%,-,-
87,The Journey of Natty Gann,"$9,708,373","$9,708,373",100%,-,-
88,Ghostbusters 1985 Re-release,"$9,389,135","$9,389,135",100%,-,-
89,Tuff Turf,"$9,369,329","$9,369,329",100%,-,-
90,Sweet Dreams,"$9,085,049","$9,085,049",100%,-,-
91,Target,"$9,023,199","$9,023,199",100%,-,-
92,Mischief,"$8,692,426","$8,692,426",100%,-,-
93,The Man with One Red Shoe,"$8,645,411","$8,645,411",100%,-,-
94,That Was Then... This Is Now,"$8,630,068","$8,630,068",100%,-,-
95,Secret Admirer,"$8,622,757","$8,622,757",100%,-,-
96,Stick,"$8,489,518","$8,489,518",100%,-,-
97,Twice in a Lifetime,"$8,402,424","$8,402,424",100%,-,-
98,Fantasia 1985 Re-release,"$8,194,726","$8,194,726",100%,-,-
99,D.A.R.Y.L.,"$7,840,873","$7,840,873",100%,-,-
100,Runaway Train,"$7,683,639","$7,683,620",100%,-,-
101,He-Man and She-Ra: The Secret of the Sword,"$7,660,857","$7,660,857",100%,-,-
102,Into the Night,"$7,562,164","$7,562,164",100%,-,-
103,The Trip to Bountiful,"$7,491,903","$7,491,903",100%,-,-
104,Transylvania 6-5000,"$7,196,872","$7,196,872",100%,-,-
105,Red Sonja,"$6,948,908","$6,948,633",100%,-,-
106,Here Come the Littles,"$6,565,359","$6,565,359",100%,-,-
107,Girls Just Want to Have Fun,"$6,326,051","$6,326,051",100%,-,-
108,Plenty,"$6,148,000","$6,148,000",100%,-,-
109,Rustlers' Rhapsody,"$6,090,497","$6,090,497",100%,-,-
110,Heaven Help Us,"$6,070,794","$6,070,794",100%,-,-
111,Gymkata,"$5,730,596","$5,730,596",100%,-,-
112,Avenging Angel,"$5,622,787","$5,622,787",100%,-,-
113,Creator,"$5,349,607","$5,349,607",100%,-,-
114,King David,"$5,111,099","$5,111,099",100%,-,-
115,Day of the Dead,"$5,001,036","$5,000,000",100%,$897,<0.1%
116,Gremlins 1985 Re-release,"$4,914,643","$4,914,643",100%,-,-
117,Rainbow Brite and the Star Stealer,"$4,889,971","$4,889,971",100%,-,-
118,The Company of Wolves,"$4,389,334","$4,389,334",100%,-,-
119,The Mean Season,"$4,349,446","$4,349,446",100%,-,-
120,That's Dancing!,"$4,210,938","$4,210,938",100%,-,-
121,My Science Project,"$4,122,748","$4,122,748",100%,-,-
122,Godzilla 1985,"$4,116,395","$4,116,395",100%,-,-
123,The Heavenly Kid,"$3,852,271","$3,852,271",100%,-,-
124,Ran,"$3,657,020","$3,607,393",98.6%,"$33,175",0.9%
125,Turk 182,"$3,594,997","$3,594,997",100%,-,-
126,The Bride,"$3,558,669","$3,558,669",100%,-,-
127,Starchaser: The Legend of Orin,"$3,360,800","$3,360,800",100%,-,-
128,Fraternity Vacation,"$3,333,306","$3,333,306",100%,-,-
129,The Legend of Billie Jean,"$3,099,497","$3,099,497",100%,-,-
130,Rappin',"$2,864,844","$2,864,844",100%,-,-
131,Fast Forward,"$2,791,350","$2,791,350",100%,-,-
132,Hot Moves,"$2,732,684","$2,732,684",100%,-,-
133,Bad Medicine,"$2,685,453","$2,685,453",100%,-,-
134,Maxie,"$2,564,278","$2,564,278",100%,-,-
135,A Private Function,"$2,527,088","$2,527,088",100%,-,-
136,Marie,"$2,507,995","$2,507,995",100%,-,-
137,Blood Simple,"$2,186,009","$2,150,000",98.4%,"$33,742",1.5%
138,Dance with a Stranger,"$2,174,622","$2,174,622",100%,-,-
139,The Quiet Earth,"$2,123,135","$2,123,135",100%,-,-
140,Re-Animator,"$2,027,085","$2,023,414",99.8%,-,-
141,Warning Sign,"$1,918,117","$1,918,117",100%,-,-
142,Bring on the Night,"$1,890,571","$1,890,571",100%,-,-
143,The Slugger's Wife,"$1,878,561","$1,878,561",100%,-,-
144,Heavenly Bodies,"$1,839,623","$1,839,623",100%,-,-
145,American Flyers,"$1,420,355","$1,420,355",100%,-,-
146,Certain Fury,"$1,381,091","$1,381,091",100%,-,-
147,The Perils of Gwendoline in the Land of the Yik Yak,"$1,337,274","$1,337,274",100%,-,-
148,The Aviator,"$1,304,192","$1,304,192",100%,-,-
149,Wetherby,"$1,299,985","$1,299,985",100%,-,-
150,Dreamchild,"$1,215,923","$1,215,923",100%,-,-
151,DEFCON-4,"$1,057,064","$1,057,064",100%,-,-
152,The Protector,"$981,817","$981,817",100%,-,-
153,The Hit,"$876,775","$876,775",100%,-,-
154,Fool for Love,"$836,156","$836,156",100%,-,-
155,Lust in the Dust,"$727,639","$727,639",100%,-,-
156,Pumping Iron II: The Women,"$628,050","$628,050",100%,-,-
157,Fever Pitch,"$618,847","$618,847",100%,-,-
158,Code Name: Emerald,"$561,548","$561,548",100%,-,-
159,Joshua Then and Now,"$542,420","$542,420",100%,-,-
160,Mishima: A Life in Four Chapters,"$502,758","$437,547",87%,"$65,211",13%
161,Morons from Outer Space,"$441,137","$441,137",100%,-,-
162,The Holcroft Covenant,"$393,825","$393,825",100%,-,-
163,Subway,"$390,659","$390,659",100%,-,-
164,Sylvester,"$385,687","$385,687",100%,-,-
165,Movers & Shakers,"$372,438","$372,438",100%,-,-
166,Revolution,"$358,574","$358,574",100%,-,-
167,Private Resort,"$331,816","$331,816",100%,-,-
168,Eleni,"$305,102","$305,102",100%,-,-
169,The New Kids,"$199,108","$199,108",100%,-,-
170,The Bay Boy,"$162,364","$162,364",100%,-,-
171,The Doctor and the Devils,"$147,070","$147,070",100%,-,-
172,Petit Con,"$127,426","$127,426",100%,-,-
173,Almost You,"$95,000","$95,000",100%,-,-
174,Fandango,"$91,666","$91,666",100%,-,-
175,Wild Geese II,"$69,342","$69,342",100%,-,-
176,The Official Story,"$29,426","$29,426",100%,-,-
177,Trouble in Mind,"$19,632","$19,632",100%,-,-
178,Smooth Talk,"$16,785","$16,785",100%,-,-
179,When Father Was Away on Business,"$16,131","$16,131",100%,-,-
180,Colonel Redl,"$2,357","$2,357",100%,-,-
181,Flesh+Blood,$278,-,-,$278,100%
