rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Spider-Man: No Way Home,"$1,910,982,770","$804,793,477",42.1%,"$1,106,189,293",57.9%
2,The Battle at Lake Changjin,"$902,548,476","$342,411",<0.1%,"$902,206,065",100%
3,"Hi, Mom","$822,009,764",-,-,"$822,009,764",100%
4,No Time to Die,"$774,153,007","$160,891,007",20.8%,"$613,262,000",79.2%
5,F9: The Fast Saga,"$726,229,501","$173,005,945",23.8%,"$553,223,556",76.2%
6,Detective Chinatown 3,"$686,257,563",-,-,"$686,257,563",100%
7,Venom: Let There Be Carnage,"$506,813,864","$213,550,366",42.1%,"$293,263,498",57.9%
8,Godzilla vs. Kong,"$470,116,094","$100,916,094",21.5%,"$369,200,000",78.5%
9,Shang-Chi and the Legend of the Ten Rings,"$432,243,292","$224,543,292",51.9%,"$207,700,000",48.1%
10,Sing 2,"$408,402,685","$162,790,990",39.9%,"$245,611,695",60.1%
11,Dune: Part One,"$402,127,830","$108,327,830",26.9%,"$293,800,000",73.1%
12,Eternals,"$402,064,899","$164,870,234",41%,"$237,194,665",59%
13,Black Widow,"$379,751,655","$183,651,655",48.4%,"$196,100,000",51.6%
14,Free Guy,"$331,526,598","$121,626,598",36.7%,"$209,900,000",63.3%
15,A Quiet Place Part II,"$297,372,261","$160,072,261",53.8%,"$137,300,000",46.2%
16,Encanto,"$256,786,742","$96,093,622",37.4%,"$160,693,120",62.6%
17,Cruella,"$233,503,234","$86,103,234",36.9%,"$147,400,000",63.1%
18,"My Country, My Parents","$221,831,086","$177,133",<0.1%,"$221,653,953",99.9%
19,Jungle Cruise,"$220,889,446","$116,987,516",53%,"$103,901,930",47%
20,The Conjuring: The Devil Made Me Do It,"$206,431,050","$65,631,050",31.8%,"$140,800,000",68.2%
21,Raging Fire,"$205,842,393","$385,305",0.2%,"$205,457,088",99.8%
22,Ghostbusters: Afterlife,"$204,334,455","$129,360,575",63.3%,"$74,973,880",36.7%
23,Chinese Doctors,"$197,143,218",-,-,"$197,143,218",100%
24,Cliff Walkers,"$181,325,565","$152,972",<0.1%,"$181,172,593",99.9%
25,The Suicide Squad,"$168,717,425","$55,817,425",33.1%,"$112,900,000",66.9%
26,Jujutsu Kaisen 0,"$166,659,865","$34,542,754",20.7%,"$132,117,111",79.3%
27,Space Jam: A New Legacy,"$163,692,228","$70,592,228",43.1%,"$93,100,000",56.9%
28,The Matrix Resurrections,"$157,386,805","$37,686,805",23.9%,"$119,700,000",76.1%
29,Peter Rabbit 2: The Runaway,"$153,901,717","$40,501,717",26.3%,"$113,400,000",73.7%
30,House of Gucci,"$153,269,161","$53,809,574",35.1%,"$99,459,587",64.9%
31,A Writer's Odyssey,"$150,058,655","$160,013",0.1%,"$149,898,642",99.9%
32,The Boss Baby 2: Family Business,"$146,745,280","$57,300,280",39%,"$89,445,000",61%
33,PAW Patrol: The Movie,"$144,327,371","$40,127,371",27.8%,"$104,200,000",72.2%
34,Tom & Jerry,"$136,536,687","$46,536,687",34.1%,"$90,000,000",65.9%
35,Be Somebody,"$132,326,332",-,-,"$132,326,332",100%
36,Halloween Kills,"$131,647,155","$92,002,155",69.9%,"$39,645,000",30.1%
37,Raya and the Last Dragon,"$130,423,032","$54,723,032",42%,"$75,700,000",58%
38,Sister,"$128,317,206",-,-,"$128,317,206",100%
39,The King's Man,"$125,897,478","$37,176,373",29.5%,"$88,721,105",70.5%
40,The Addams Family 2,"$119,815,153","$56,489,153",47.1%,"$63,326,000",52.9%
41,My Love,"$116,720,921","$86,252",<0.1%,"$116,634,669",99.9%
42,Clifford the Big Red Dog,"$116,585,807","$48,947,356",42%,"$67,638,451",58%
43,Wrath of Man,"$103,966,489","$27,466,489",26.4%,"$76,500,000",73.6%
44,Detective Conan: The Scarlet Bullet,"$95,371,578",-,-,"$95,371,578",100%
45,End Game,"$91,824,961","$23,149",<0.1%,"$91,801,812",100%
46,Old,"$90,146,510","$48,276,510",53.6%,"$41,870,000",46.4%
47,Mortal Kombat,"$84,426,031","$42,326,031",50.1%,"$42,100,000",49.9%
48,Boonie Bears: The Wild Life,"$78,132,231",-,-,"$78,132,231",100%
49,Candyman,"$77,411,570","$61,186,570",79%,"$16,225,000",21%
50,The Forever Purge,"$76,994,245","$44,539,245",57.8%,"$32,455,000",42.2%
51,West Side Story,"$76,016,171","$38,530,322",50.7%,"$37,485,849",49.3%
52,1921,"$75,159,828",-,-,"$75,159,828",100%
53,Hitman's Wife's Bodyguard,"$70,060,492","$38,014,727",54.3%,"$32,045,765",45.7%
54,Escape Room: Tournament of Champions,"$65,774,490","$25,314,753",38.5%,"$40,459,737",61.5%
55,Belle,"$64,676,965","$4,018,313",6.2%,"$60,658,652",93.8%
56,Ron's Gone Wrong,"$60,692,022","$23,009,270",37.9%,"$37,682,752",62.1%
57,Cloudy Mountain,"$58,348,836",-,-,"$58,348,836",100%
58,Avatar 2021 Re-release,"$57,995,770",-,-,"$57,995,770",100%
59,Nobody,"$57,510,518","$27,568,035",47.9%,"$29,942,483",52.1%
60,New Gods: Nezha Reborn,"$56,088,478",-,-,"$56,088,478",100%
61,Upcoming,"$54,300,000",-,-,"$54,300,000",100%
62,Don't Breathe 2,"$53,785,551","$32,712,950",60.8%,"$21,072,601",39.2%
63,Man in Love,"$52,946,097",-,-,"$52,946,097",100%
64,Break Through the Darkness,"$52,700,000",-,-,"$52,700,000",100%
65,Schemes in Antiques,"$51,637,422","$36,501",<0.1%,"$51,600,921",99.9%
66,Luca,"$51,074,773","$1,324,302",2.6%,"$49,750,471",97.4%
67,Belfast,"$49,158,709","$9,250,870",18.8%,"$39,907,839",81.2%
68,My Hero Academia: World Heroes' Mission,"$46,940,541","$12,271,658",26.1%,"$34,668,883",73.9%
69,The French Dispatch,"$46,333,545","$16,124,375",34.8%,"$30,209,170",65.2%
70,In the Heights,"$45,175,167","$29,975,167",66.4%,"$15,200,000",33.6%
71,Love Will Tear Us Apart,"$45,060,290",-,-,"$45,060,290",100%
72,Spirit Untamed,"$42,717,215","$17,716,215",41.5%,"$25,001,000",58.5%
73,Resident Evil: Welcome to Raccoon City,"$41,914,915","$17,000,612",40.6%,"$24,914,303",59.4%
74,Spiral,"$40,618,920","$23,216,862",57.2%,"$17,402,058",42.8%
75,Snake Eyes,"$40,064,325","$28,264,325",70.5%,"$11,800,000",29.5%
76,Tokyo Revengers,"$39,714,624",-,-,"$39,714,624",100%
77,Nightmare Alley,"$39,629,195","$11,338,107",28.6%,"$28,291,088",71.4%
78,King Richard,"$39,529,285","$15,129,285",38.3%,"$24,400,000",61.7%
