rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Beauty and the Beast,"$248,822,835","$145,863,363",58.6%,"$102,939,158",41.4%
2,Terminator 2: Judgment Day,"$205,068,630","$204,843,345",99.9%,"$225,285",0.1%
3,Robin Hood: Prince of Thieves,"$165,493,908","$165,493,908",100%,-,-
4,The Silence of the Lambs,"$130,877,590","$130,742,922",99.9%,"$125,425",<0.1%
5,City Slickers,"$124,033,791","$124,033,791",100%,-,-
6,Hook,"$119,658,146","$119,654,823",100%,-,-
7,The Addams Family,"$113,503,889","$113,502,426",100%,-,-
8,Sleeping with the Enemy,"$101,599,005","$101,599,005",100%,-,-
9,Father of the Bride,"$89,325,780","$89,325,780",100%,-,-
10,The Naked Gun 2½: The Smell of Fear,"$86,930,411","$86,930,411",100%,-,-
11,Fried Green Tomatoes,"$82,418,501","$82,418,501",100%,-,-
12,Cape Fear,"$79,091,969","$79,091,969",100%,-,-
13,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,"$78,656,813","$78,656,813",100%,-,-
14,Backdraft,"$77,868,585","$77,868,585",100%,-,-
15,Star Trek VI: The Undiscovered Country,"$74,888,996","$74,888,996",100%,-,-
16,The Prince of Tides,"$74,787,599","$74,787,599",100%,-,-
17,JFK,"$70,405,819","$70,405,498",100%,-,-
18,Hot Shots!,"$69,467,617","$69,467,617",100%,-,-
19,What About Bob?,"$63,707,829","$63,707,829",100%,-,-
20,One Hundred and One Dalmatians 1991 Re-release,"$60,830,285","$60,830,285",100%,-,-
21,The Last Boy Scout,"$59,509,925","$59,509,925",100%,-,-
22,My Girl,"$59,489,799","$59,489,799",100%,-,-
23,Boyz n the Hood,"$57,504,740","$57,504,069",100%,-,-
24,Doc Hollywood,"$54,830,779","$54,830,779",100%,-,-
25,Bugsy,"$49,114,016","$49,114,016",100%,-,-
26,New Jack City,"$47,624,353","$47,624,353",100%,-,-
27,The Rocketeer,"$46,704,056","$46,704,056",100%,-,-
28,Thelma & Louise,"$45,578,842","$45,360,915",99.5%,"$214,620",0.5%
29,Point Break,"$43,220,015","$43,218,387",100%,-,-
30,Regarding Henry,"$43,001,500","$43,001,500",100%,-,-
31,The Fisher King,"$41,895,491","$41,895,491",100%,-,-
32,Out for Justice,"$39,673,161","$39,673,161",100%,-,-
33,The Doctor,"$38,120,905","$38,120,905",100%,-,-
34,Bill & Ted's Bogus Journey,"$38,037,931","$38,037,513",100%,$418,<0.1%
35,Dead Again,"$38,016,380","$38,016,380",100%,-,-
36,Soapdish,"$36,489,888","$36,489,888",100%,-,-
37,Freddy's Dead: The Final Nightmare,"$34,872,033","$34,872,033",100%,-,-
38,White Fang,"$34,793,160","$34,793,160",100%,-,-
39,The Doors,"$34,494,884","$34,416,893",99.8%,"$77,991",0.2%
40,King Ralph,"$34,002,045","$34,002,045",100%,-,-
41,Curly Sue,"$33,691,313","$33,691,313",100%,-,-
42,Dying Young,"$33,669,178","$33,669,178",100%,-,-
43,Grand Canyon,"$33,243,020","$33,243,020",100%,-,-
44,Jungle Fever,"$32,482,682","$32,482,682",100%,-,-
45,Double Impact,"$30,102,717","$30,102,717",100%,-,-
46,L.A. Story,"$28,862,081","$28,862,081",100%,-,-
47,Deceived,"$28,738,096","$28,738,096",100%,-,-
48,Necessary Roughness,"$26,255,594","$26,255,594",100%,-,-
49,The Hard Way,"$25,895,485","$25,895,485",100%,-,-
50,Other People's Money,"$25,682,090","$25,682,090",100%,-,-
51,Don't Tell Mom the Babysitter's Dead,"$25,196,249","$25,196,249",100%,-,-
52,Problem Child 2,"$25,104,700","$25,104,700",100%,-,-
53,Little Man Tate,"$25,010,896","$25,010,896",100%,-,-
54,Class Action,"$24,277,858","$24,277,858",100%,-,-
55,The People Under the Stairs,"$24,204,154","$24,204,154",100%,-,-
56,Lionheart,"$24,078,196","$24,078,196",100%,-,-
57,Oscar,"$23,562,716","$23,562,716",100%,-,-
58,Frankie and Johnny,"$22,773,535","$22,773,535",100%,-,-
59,Pure Luck,"$22,641,969","$22,641,969",100%,-,-
60,An American Tail: Fievel Goes West,"$22,166,041","$22,166,041",100%,-,-
61,Only the Lonely,"$21,830,957","$21,830,957",100%,-,-
62,Ricochet,"$21,756,163","$21,756,163",100%,-,-
63,F/X2,"$21,082,165","$21,082,165",100%,-,-
64,Mobsters,"$20,246,790","$20,246,790",100%,-,-
65,House Party 2,"$19,438,638","$19,438,638",100%,-,-
66,Mortal Thoughts,"$18,784,957","$18,784,957",100%,-,-
67,Paradise,"$18,634,643","$18,634,643",100%,-,-
68,For the Boys,"$17,860,280","$17,860,280",100%,-,-
69,The NeverEnding Story II: The Next Chapter,"$17,373,527","$17,373,527",100%,-,-
70,Hudson Hawk,"$17,218,080","$17,218,080",100%,-,-
71,Defending Your Life,"$16,371,128","$16,371,128",100%,-,-
72,Billy Bathgate,"$15,565,363","$15,565,363",100%,-,-
73,Highlander II: The Quickening,"$15,556,340","$15,556,340",100%,-,-
74,Switch,"$15,545,943","$15,545,943",100%,-,-
75,A Kiss Before Dying,"$15,429,177","$15,429,177",100%,-,-
76,Shipwrecked,"$15,104,156","$15,104,156",100%,-,-
77,Toy Soldiers,"$15,073,942","$15,073,942",100%,-,-
78,Madonna: Truth or Dare,"$15,015,262","$15,012,935",100%,"$1,317",<0.1%
79,Child's Play 3,"$14,960,255","$14,960,255",100%,-,-
80,The Commitments,"$14,921,009","$14,919,570",100%,-,-
81,Once Around,"$14,851,083","$14,851,083",100%,-,-
82,All I Want for Christmas,"$14,812,144","$14,812,144",100%,-,-
83,Not Without My Daughter,"$14,789,113","$14,789,113",100%,-,-
84,Flight of the Intruder,"$14,587,732","$14,587,732",100%,-,-
85,Ernest Scared Stupid,"$14,143,280","$14,143,280",100%,-,-
86,The Perfect Weapon,"$14,061,808","$14,061,361",100%,-,-
87,Drop Dead Fred,"$13,878,564","$13,878,334",100%,-,-
88,The Marrying Man,"$12,454,768","$12,454,768",100%,-,-
89,Shattered,"$11,511,031","$11,511,031",100%,-,-
90,Career Opportunities,"$11,336,986","$11,336,986",100%,-,-
91,One Good Cop,"$11,276,846","$11,276,846",100%,-,-
92,V.I. Warshawski,"$11,128,309","$11,128,309",100%,-,-
93,The Super,"$11,000,863","$11,000,863",100%,-,-
94,A Rage in Harlem,"$10,438,504","$10,438,504",100%,-,-
95,"He Said, She Said","$9,804,775","$9,804,775",100%,-,-
96,The Butcher's Wife,"$9,689,816","$9,689,816",100%,-,-
97,Scenes from a Mall,"$9,563,393","$9,563,393",100%,-,-
98,Guilty by Suspicion,"$9,480,198","$9,480,198",100%,-,-
99,Body Parts,"$9,188,150","$9,188,150",100%,-,-
100,Stone Cold,"$9,151,887","$9,151,887",100%,-,-
101,Warlock,"$9,094,451","$9,094,451",100%,-,-
102,Late for Dinner,"$8,906,823","$8,906,823",100%,-,-
103,The Five Heartbeats,"$8,750,400","$8,750,400",100%,-,-
104,Bingo,"$8,667,684","$8,667,684",100%,-,-
105,Nothing But Trouble,"$8,479,793","$8,479,793",100%,-,-
106,Black Robe,"$8,211,952","$8,211,952",100%,-,-
107,If Looks Could Kill,"$7,788,597","$7,788,597",100%,-,-
108,Strictly Business,"$7,683,267","$7,683,267",100%,-,-
109,Harley Davidson and the Marlboro Man,"$7,434,726","$7,434,726",100%,-,-
110,Wild Hearts Can't Be Broken,"$7,294,835","$7,294,835",100%,-,-
111,Rush,"$7,241,350","$7,241,350",100%,-,-
112,Suburban Commando,"$6,948,859","$6,948,859",100%,-,-
113,Defenseless,"$6,413,375","$6,413,375",100%,-,-
114,My Own Private Idaho,"$6,408,546","$6,401,336",99.9%,-,-
115,Rambling Rose,"$6,266,621","$6,266,621",100%,-,-
116,Mystery Date,"$6,166,819","$6,166,819",100%,-,-
117,Barton Fink,"$6,154,066","$6,153,939",100%,$108,<0.1%
118,Europa Europa,"$5,575,738","$5,575,738",100%,-,-
119,Delirious,"$5,546,827","$5,546,827",100%,-,-
120,Livin' Large!,"$5,467,959","$5,467,959",100%,-,-
121,Eve of Destruction,"$5,451,119","$5,451,119",100%,-,-
122,The Object of Beauty,"$5,136,759","$5,136,759",100%,-,-
