rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
96,Nuns on the Run,"$10,959,015","$10,959,015",100%,-,-
97,Narrow Margin,"$10,873,237","$10,873,237",100%,-,-
98,The Witches,"$10,360,553","$10,360,553",100%,-,-
99,The Adventures of Milo and Otis 1990 Re-release,"$10,351,534","$10,351,534",100%,-,-
100,The Two Jakes,"$10,005,969","$10,005,969",100%,-,-
101,Miami Blues,"$9,888,167","$9,888,167",100%,-,-
102,Nightbreed,"$9,469,695","$8,862,354",93.6%,"$607,341",6.4%
103,Havana,"$9,243,140","$9,243,140",100%,-,-
104,Ski Patrol,"$8,533,973","$8,533,973",100%,-,-
105,Cry-Baby,"$8,267,028","$8,266,343",100%,-,-
106,Blue Steel,"$8,217,997","$8,217,997",100%,-,-
107,Funny About Love,"$8,141,292","$8,141,292",100%,-,-
108,"The Cook, the Thief, His Wife & Her Lover","$7,728,023","$7,724,701",100%,-,-
109,Mr. & Mrs. Bridge,"$7,698,010","$7,698,010",100%,-,-
110,Alice,"$7,331,647","$7,331,647",100%,-,-
111,Almost an Angel,"$6,939,946","$6,939,946",100%,-,-
112,Delta Force 2: The Colombian Connection,"$6,698,361","$6,698,361",100%,-,-
113,Flashback,"$6,488,114","$6,488,114",100%,-,-
114,The Gods Must Be Crazy II,"$6,291,444","$6,291,444",100%,-,-
115,Men Don't Leave,"$6,070,725","$6,070,725",100%,-,-
116,Night of the Living Dead,"$5,835,247","$5,835,247",100%,-,-
117,Cyrano de Bergerac,"$5,820,020","$5,820,020",100%,-,-
118,Stanley & Iris,"$5,820,015","$5,820,015",100%,-,-
119,Leatherface: Texas Chainsaw Massacre III,"$5,765,562","$5,765,562",100%,-,-
120,Hardware,"$5,729,735","$5,728,953",100%,-,-
121,Loose Cannons,"$5,585,154","$5,585,154",100%,-,-
122,Miller's Crossing,"$5,080,409","$5,080,409",100%,-,-
123,The Handmaid's Tale,"$4,960,385","$4,960,385",100%,-,-
124,The Long Walk Home,"$4,873,620","$4,873,620",100%,-,-
125,Longtime Companion,"$4,609,953","$4,609,953",100%,-,-
126,Graffiti Bridge,"$4,562,778","$4,562,778",100%,-,-
127,Dark Angel,"$4,348,368","$4,348,368",100%,-,-
128,Lisa,"$4,347,648","$4,347,648",100%,-,-
129,Lambada,"$4,263,112","$4,263,112",100%,-,-
130,China Cry: A True Story,"$4,212,828","$4,212,828",100%,-,-
131,Heart Condition,"$4,134,992","$4,134,992",100%,-,-
132,Tie Me Up! Tie Me Down!,"$4,087,361","$4,087,361",100%,-,-
133,Mountains of the Moon,"$4,011,793","$4,011,793",100%,-,-
134,Short Time,"$4,010,647","$4,010,647",100%,-,-
135,"Welcome Home, Roxy Carmichael","$3,989,297","$3,989,297",100%,-,-
136,The Lemon Sisters,"$3,473,905","$3,473,905",100%,-,-
137,A Shock to the System,"$3,417,056","$3,417,056",100%,-,-
138,Metropolitan,"$2,938,208","$2,938,208",100%,-,-
139,Desperate Hours,"$2,742,912","$2,742,912",100%,-,-
140,Blind Fury,"$2,692,037","$2,692,037",100%,-,-
141,"After Dark, My Sweet","$2,678,414","$2,678,414",100%,-,-
142,King of New York,"$2,554,476","$2,554,476",100%,-,-
143,Impulse,"$2,544,504","$2,544,504",100%,-,-
144,Class of 1999,"$2,459,895","$2,459,895",100%,-,-
145,Body Chemistry,"$2,415,312","$2,415,312",100%,-,-
146,Downtown,"$2,346,150","$2,346,150",100%,-,-
147,White Hunter Black Heart,"$2,319,124","$2,319,124",100%,-,-
148,The Nasty Girl,"$2,281,569","$2,281,569",100%,-,-
149,Texasville,"$2,268,181","$2,268,181",100%,-,-
150,Vincent & Theo,"$2,232,058","$2,231,274",100%,-,-
151,Def by Temptation,"$2,218,579","$2,218,579",100%,-,-
152,Eating,"$2,100,538","$2,100,538",100%,-,-
153,The Sheltering Sky,"$2,075,084","$2,075,084",100%,-,-
154,The Krays,"$2,060,847","$2,060,847",100%,-,-
155,Dreams,"$1,963,207","$1,963,207",100%,-,-
156,State of Grace,"$1,911,542","$1,911,542",100%,-,-
157,The Forbidden Dance,"$1,823,154","$1,823,154",100%,-,-
158,Tune in Tomorrow...,"$1,794,001","$1,794,001",100%,-,-
159,The Nutcracker Prince,"$1,781,694","$1,781,694",100%,-,-
160,Too Beautiful for You,"$1,776,440","$1,776,440",100%,-,-
161,Last Exit to Brooklyn,"$1,730,005","$1,730,005",100%,-,-
162,The Rain Killer,"$1,696,066","$1,696,066",100%,-,-
163,Brain Dead,"$1,627,955","$1,627,955",100%,-,-
164,Jesus of Montreal,"$1,601,612","$1,601,612",100%,-,-
165,May Fools,"$1,576,702","$1,576,702",100%,-,-
166,The Haunting of Morella,"$1,547,867","$1,547,867",100%,-,-
167,The Last of the Finest,"$1,531,489","$1,531,489",100%,-,-
168,Streets,"$1,510,053","$1,510,053",100%,-,-
169,A Cry in the Wild,"$1,494,969","$1,494,969",100%,-,-
170,The Field,"$1,494,399","$1,494,399",100%,-,-
171,Love at Large,"$1,436,308","$1,436,308",100%,-,-
172,Monsieur Hire,"$1,417,030","$1,417,030",100%,-,-
173,Courage Mountain,"$1,393,610","$1,393,610",100%,-,-
174,Repossessed,"$1,382,462","$1,382,462",100%,-,-
175,Daddy's Dyin'... Who's Got the Will?,"$1,373,728","$1,373,728",100%,-,-
176,Everybody Wins,"$1,372,350","$1,372,350",100%,-,-
177,The Fourth War,"$1,305,887","$1,305,887",100%,-,-
178,The Hot Spot,"$1,293,976","$1,293,976",100%,-,-
179,Bloodfist II,"$1,292,323","$1,292,323",100%,-,-
180,The Third Animation Celebration Multi-title release including: Not Frank's Planet/Snowie and the Seven Dorps/Poumse...,"$1,289,551","$1,289,551",100%,-,-
181,Robot Jox,"$1,272,977","$1,272,977",100%,-,-
182,Slumber Party Massacre III,"$1,242,995","$1,242,995",100%,-,-
183,The Icicle Thief,"$1,231,622","$1,231,622",100%,-,-
184,Vital Signs,"$1,224,605","$1,224,605",100%,-,-
185,Without You I'm Nothing,"$1,218,730","$1,218,730",100%,-,-
186,The Boyfriend School,"$1,171,762","$1,171,762",100%,-,-
187,To Sleep with Anger,"$1,161,135","$1,161,135",100%,-,-
188,Where the Heart Is,"$1,106,475","$1,106,475",100%,-,-
189,Hidden Agenda,"$1,030,938","$1,030,938",100%,-,-
190,Corporate Affairs,"$1,006,575","$1,006,575",100%,-,-
191,Come See the Paradise,"$947,306","$947,306",100%,-,-
192,Sweetie,"$938,065","$938,065",100%,-,-
193,The Blood of Heroes,"$882,290","$882,290",100%,-,-
194,Angel Town,"$855,810","$855,810",100%,-,-
195,Waiting for the Light,"$808,690","$808,690",100%,-,-
196,C'est la vie,"$805,472","$805,472",100%,-,-
197,Listen Up: The Lives of Quincy Jones,"$776,699","$776,699",100%,-,-
198,22nd Annual International Tournée of Animation,"$768,304","$768,304",100%,-,-
199,Strapless,"$764,794","$764,794",100%,-,-
200,Coupe de Ville,"$715,983","$715,983",100%,-,-
