rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Barbie,"$1,447,138,421","$636,238,421",44%,"$810,900,000",56%
2,The Super Mario Bros. Movie,"$1,360,879,735","$574,934,330",42.2%,"$785,945,405",57.8%
3,Oppenheimer,"$975,811,333","$330,078,895",33.8%,"$645,732,438",66.2%
4,Guardians of the Galaxy Vol. 3,"$845,555,777","$358,995,815",42.5%,"$486,559,962",57.5%
5,Fast X,"$704,875,015","$146,126,015",20.7%,"$558,749,000",79.3%
6,Spider-Man: Across the Spider-Verse,"$690,542,303","$381,311,319",55.2%,"$309,230,984",44.8%
7,Full River Red,"$670,491,959",-,-,"$670,491,959",100%
8,Wonka,"$634,502,312","$218,402,312",34.4%,"$416,100,000",65.6%
9,The Wandering Earth II,"$615,023,132","$5,023,132",0.8%,"$610,000,000",99.2%
10,Mission: Impossible - Dead Reckoning Part One,"$571,125,435","$172,640,980",30.2%,"$398,484,455",69.8%
11,The Little Mermaid,"$569,626,289","$298,172,056",52.3%,"$271,454,233",47.7%
12,No More Bets,"$532,600,264",-,-,"$532,600,264",100%
13,Elemental,"$496,444,308","$154,426,697",31.1%,"$342,017,611",68.9%
14,Lost in the Stars,"$487,637,474","$1,721,446",0.4%,"$485,916,028",99.6%
15,Ant-Man and the Wasp: Quantumania,"$476,071,180","$214,504,909",45.1%,"$261,566,271",54.9%
16,John Wick: Chapter 4,"$447,142,521","$187,131,806",41.9%,"$260,010,715",58.1%
17,Transformers: Rise of the Beasts,"$441,656,550","$157,341,749",35.6%,"$284,314,801",64.4%
18,Aquaman and the Lost Kingdom,"$440,181,226","$124,481,226",28.3%,"$315,700,000",71.7%
19,Meg 2: The Trench,"$398,500,317","$82,600,317",20.7%,"$315,900,000",79.3%
20,Indiana Jones and the Dial of Destiny,"$383,963,057","$174,480,468",45.4%,"$209,482,589",54.6%
21,Creation of the Gods I: Kingdom of Storms,"$373,044,244","$1,706,355",0.5%,"$371,337,889",99.5%
22,The Hunger Games: The Ballad of Songbirds & Snakes,"$347,628,052","$166,350,594",47.9%,"$181,277,458",52.1%
23,Never Say Never,"$301,957,043",-,-,"$301,957,043",100%
24,Migration,"$300,187,799","$127,630,880",42.5%,"$172,556,919",57.5%
25,Five Nights at Freddy's,"$291,493,620","$137,275,620",47.1%,"$154,218,000",52.9%
26,The Boy and the Heron,"$282,996,427","$46,832,867",16.5%,"$236,163,560",83.5%
27,Creed III,"$276,148,615","$156,248,615",56.6%,"$119,900,000",43.4%
28,The Flash,"$271,433,313","$108,133,313",39.8%,"$163,300,000",60.2%
29,The Nun II,"$269,667,073","$86,267,073",32%,"$183,400,000",68%
30,Taylor Swift: The Eras Tour,"$261,656,269","$180,756,269",69.1%,"$80,900,000",30.9%
31,Wish,"$254,997,360","$63,973,821",25.1%,"$191,023,539",74.9%
32,Sound of Freedom,"$250,570,396","$184,178,046",73.5%,"$66,392,350",26.5%
33,Chang An,"$250,318,788",-,-,"$250,318,788",100%
34,Napoleon,"$222,435,664","$61,524,375",27.7%,"$160,911,289",72.3%
35,Anyone But You,"$220,332,985","$88,319,668",40.1%,"$132,013,317",59.9%
36,Boonie Bears: Guardian Code,"$218,069,789",-,-,"$218,069,789",100%
37,Trolls Band Together,"$209,646,030","$103,270,155",49.3%,"$106,375,875",50.7%
38,The Marvels,"$206,136,825","$84,500,223",41%,"$121,636,602",59%
39,Dungeons & Dragons: Honor Among Thieves,"$205,460,387","$93,549,650",45.5%,"$111,910,737",54.5%
40,PAW Patrol: The Mighty Movie,"$205,098,869","$65,343,309",31.9%,"$139,755,560",68.1%
41,The Equalizer 3,"$191,067,560","$92,373,751",48.3%,"$98,693,809",51.7%
42,Under the Light,"$189,404,720",-,-,"$189,404,720",100%
43,Insidious: The Red Door,"$189,086,877","$82,156,962",43.4%,"$106,929,915",56.6%
44,Teenage Mutant Ninja Turtles: Mutant Mayhem,"$181,935,518","$118,700,272",65.2%,"$63,235,246",34.8%
45,Scream VI,"$166,577,232","$108,391,107",65.1%,"$58,186,125",34.9%
46,Godspeed,"$165,276,468",-,-,"$165,276,468",100%
47,Johnny Keep Walking!,"$159,776,483",-,-,"$159,776,483",100%
48,Killers of the Flower Moon,"$158,772,599","$68,035,488",42.9%,"$90,737,111",57.1%
49,Evil Dead Rise,"$147,133,054","$67,233,054",45.7%,"$79,900,000",54.3%
50,The Ex-Files 4: Marriage Plan,"$141,589,956",-,-,"$141,589,956",100%
51,Hidden Blade,"$136,784,593","$803,189",0.6%,"$135,981,404",99.4%
52,The Exorcist: Believer,"$136,294,607","$65,537,395",48.1%,"$70,757,212",51.9%
53,Shazam! Fury of the Gods,"$134,138,006","$57,638,006",43%,"$76,500,000",57%
