rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Independence Day,"$306,173,894","$306,169,268",100%,-,-
2,Twister,"$241,721,524","$241,721,524",100%,-,-
3,Mission: Impossible,"$180,981,856","$180,981,856",100%,-,-
4,Jerry Maguire,"$153,952,627","$153,952,592",100%,-,-
5,Ransom,"$136,492,681","$136,492,681",100%,-,-
6,101 Dalmatians,"$136,189,294","$136,189,294",100%,-,-
7,The Rock,"$134,069,511","$134,069,511",100%,-,-
8,The Nutty Professor,"$128,814,019","$128,814,019",100%,-,-
9,The Birdcage,"$124,061,638","$124,060,553",100%,-,-
10,A Time to Kill,"$108,766,007","$108,766,007",100%,-,-
11,The First Wives Club,"$105,489,203","$105,489,203",100%,-,-
12,Phenomenon,"$104,636,382","$104,636,382",100%,-,-
13,Scream,"$103,208,041","$103,046,663",99.8%,"$161,378",0.2%
14,Eraser,"$101,295,562","$101,295,562",100%,-,-
15,The Hunchback of Notre Dame,"$100,138,851","$100,138,851",100%,-,-
16,Michael,"$95,318,203","$95,318,203",100%,-,-
17,Star Trek: First Contact,"$92,027,888","$92,027,888",100%,-,-
18,Space Jam,"$90,418,728","$90,418,342",100%,-,-
19,The English Patient,"$78,680,981","$78,676,425",100%,"$4,556",<0.1%
20,Broken Arrow,"$70,770,147","$70,770,147",100%,-,-
21,Evita,"$68,267,591","$50,047,179",73.3%,"$18,218,658",26.7%
22,Beavis and Butt-Head Do America,"$63,118,386","$63,118,386",100%,-,-
23,Jingle All the Way,"$60,595,960","$60,592,389",100%,-,-
24,The Cable Guy,"$60,240,579","$60,240,295",100%,-,-
25,Courage Under Fire,"$59,031,057","$59,031,057",100%,-,-
26,Jack,"$58,620,973","$58,620,973",100%,-,-
27,Executive Decision,"$56,569,216","$56,569,216",100%,-,-
28,Primal Fear,"$56,116,183","$56,116,183",100%,-,-
29,Tin Cup,"$53,854,588","$53,854,588",100%,-,-
30,Sleepers,"$53,315,285","$53,315,285",100%,-,-
31,DragonHeart,"$51,367,375","$51,367,375",100%,-,-
32,Up Close & Personal,"$51,088,705","$51,088,705",100%,-,-
33,The Preacher's Wife,"$48,102,795","$48,102,795",100%,-,-
