rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Ne Zha 2,"$2,260,176,370","$23,308,176",1%,"$2,236,868,194",99%
2,Zootopia 2,"$1,866,449,227","$427,931,437",22.9%,"$1,438,517,790",77.1%
3,Avatar: Fire and Ash,"$1,485,224,545","$403,564,665",27.2%,"$1,081,659,880",72.8%
4,Lilo & Stitch,"$1,038,027,526","$423,778,855",40.8%,"$614,248,671",59.2%
5,A Minecraft Movie,"$961,187,780","$424,087,780",44.1%,"$537,100,000",55.9%
6,Jurassic World: Rebirth,"$869,146,189","$339,640,400",39.1%,"$529,505,789",60.9%
7,Demon Slayer: Kimetsu No Yaiba Infinity Castle,"$741,086,336","$136,820,396",18.5%,"$604,265,940",81.5%
8,How to Train Your Dragon,"$636,596,299","$262,958,100",41.3%,"$373,638,199",58.7%
9,F1: The Movie,"$633,742,436","$189,642,436",29.9%,"$444,100,000",70.1%
10,Superman,"$618,723,803","$354,223,803",57.3%,"$264,500,000",42.7%
11,Mission: Impossible - The Final Reckoning,"$598,767,057","$197,413,515",33%,"$401,353,542",67%
12,Wicked: For Good,"$533,746,605","$342,915,090",64.2%,"$190,831,515",35.8%
13,The Fantastic Four: First Steps,"$521,858,728","$274,286,610",52.6%,"$247,572,118",47.4%
14,Detective Chinatown 1900,"$500,282,092","$2,229,946",0.4%,"$498,052,146",99.6%
15,The Conjuring: Last Rites,"$499,156,445","$177,756,445",35.6%,"$321,400,000",64.4%
16,Dead to Rights,"$422,785,908",-,-,"$422,785,908",100%
17,Captain America: Brave New World,"$415,101,577","$200,500,001",48.3%,"$214,601,576",51.7%
18,The Housemaid,"$396,604,118","$126,432,462",31.9%,"$270,171,656",68.1%
19,Thunderbolts*,"$382,436,917","$190,274,328",49.8%,"$192,162,589",50.2%
20,Sinners,"$369,389,632","$279,989,632",75.8%,"$89,400,000",24.2%
21,Final Destination: Bloodlines,"$317,854,739","$138,254,739",43.5%,"$179,600,000",56.5%
22,731,"$274,090,081","$410,904",0.1%,"$273,679,177",99.9%
23,Weapons,"$269,972,492","$151,572,492",56.1%,"$118,400,000",43.9%
24,Now You See Me: Now You Don't,"$241,703,965","$61,882,396",25.6%,"$179,821,569",74.4%
25,The Bad Guys 2,"$239,623,883","$82,593,605",34.5%,"$157,030,278",65.5%
26,Five Nights at Freddy's 2,"$238,562,702","$127,730,290",53.5%,"$110,832,412",46.5%
27,One Battle After Another,"$209,887,096","$72,587,096",34.6%,"$137,300,000",65.4%
28,Snow White,"$205,679,463","$87,203,963",42.4%,"$118,475,500",57.6%
29,Predator: Badlands,"$184,561,056","$91,083,631",49.4%,"$93,477,425",50.6%
30,Marty Supreme,"$179,268,333","$95,961,356",53.5%,"$83,306,977",46.5%
31,The SpongeBob Movie: Search for SquarePants,"$168,341,736","$71,068,170",42.2%,"$97,273,566",57.8%
32,Detective Conan: One-Eyed Flashback,"$166,061,012",-,-,"$166,061,012",100%
33,Chainsaw Man - The Movie: Reze Arc,"$163,017,316","$43,438,461",26.6%,"$119,578,855",73.4%
34,Elio,"$154,291,182","$72,987,454",47.3%,"$81,303,728",52.7%
35,Freakier Friday,"$153,176,952","$94,186,236",61.5%,"$58,990,716",38.5%
36,28 Years Later,"$151,329,249","$70,446,897",46.6%,"$80,882,352",53.4%
37,Dog Man,"$146,049,628","$97,970,355",67.1%,"$48,079,273",32.9%
38,Tron: Ares,"$142,249,983","$73,161,014",51.4%,"$69,088,969",48.6%
39,Bridget Jones: Mad About the Boy,"$140,433,351",-,-,"$140,433,351",100%
40,Ballerina,"$137,408,107","$58,051,327",42.2%,"$79,356,780",57.8%
41,Dhurandhar,"$137,246,897","$19,702,994",14.4%,"$117,543,903",85.6%
42,Anaconda,"$134,747,179","$65,074,898",48.3%,"$69,672,281",51.7%
43,Kokuho,"$134,371,088","$1,052,574",0.8%,"$133,318,514",99.2%
44,Mickey 17,"$133,542,263","$46,142,263",34.6%,"$87,400,000",65.4%
45,Black Phone 2,"$132,248,152","$77,378,880",58.5%,"$54,869,272",41.5%
46,Smurfs,"$124,157,356","$31,075,170",25%,"$93,082,186",75%
47,Karate Kid: Legends,"$117,105,466","$52,547,391",44.9%,"$64,558,075",55.1%
48,Materialists,"$105,649,413","$36,521,973",34.6%,"$69,127,440",65.4%
49,Downton Abbey: The Grand Finale,"$103,523,960","$44,996,590",43.5%,"$58,527,370",56.5%
50,The Accountant 2,"$103,323,366","$65,523,366",63.4%,"$37,800,000",36.6%
51,The Naked Gun,"$102,147,396","$52,647,396",51.5%,"$49,500,000",48.5%
52,Hamnet,"$100,800,058","$24,189,110",24%,"$76,610,948",76%
53,The Amateur,"$96,000,836","$40,759,635",42.5%,"$55,241,201",57.5%
54,Regretting You,"$90,452,948","$48,852,948",54%,"$41,600,000",46%
55,Buen Camino,"$90,337,775",-,-,"$90,337,775",100%
56,A Working Man,"$89,400,711","$37,000,711",41.4%,"$52,400,000",58.6%
57,David,"$84,280,631","$80,338,999",95.3%,"$3,941,632",4.7%
58,The King of Kings,"$83,712,539","$60,270,106",72%,"$23,442,433",28%
59,Gabby's Dollhouse: The Movie,"$80,524,218","$32,011,820",39.8%,"$48,512,398",60.2%
60,Cheburashka 2,"$77,931,752",-,-,"$77,931,752",100%
61,The Running Man,"$69,486,523","$37,815,641",54.4%,"$31,670,882",45.6%
62,The Monkey,"$68,871,071","$39,724,909",57.7%,"$29,146,162",42.3%
63,I Know What You Did Last Summer,"$64,808,120","$32,165,634",49.6%,"$32,642,486",50.4%
64,The Long Walk,"$62,871,590","$35,163,573",55.9%,"$27,708,017",44.1%
65,The Twilight Saga: Eclipse 2025 Re-release,"$62,114,499","$309,013",0.5%,"$61,805,486",99.5%
66,Den of Thieves: Pantera,"$58,371,508","$36,015,016",61.7%,"$22,356,492",38.3%
67,Manitou's Canoe,"$57,840,726",-,-,"$57,840,726",100%
68,Song Sung Blue,"$57,816,707","$39,185,290",67.8%,"$18,631,417",32.2%
69,Nuremberg,"$56,832,629","$14,524,692",25.6%,"$42,307,937",74.4%
70,Star Wars: Episode III - Revenge of the Sith 20th anniversary,"$55,560,312","$34,107,714",61.4%,"$21,452,598",38.6%
71,Until Dawn,"$54,105,064","$20,172,192",37.3%,"$33,932,872",62.7%
72,The Roses,"$51,989,385","$15,298,844",29.4%,"$36,690,541",70.6%
73,One of Them Days,"$51,896,264","$50,054,690",96.5%,"$1,841,574",3.5%
74,Taylor Swift: The Official Release Party of a Showgirl,"$50,062,774","$34,062,774",68%,"$16,000,000",32%
75,Flight Risk,"$48,701,987","$29,783,527",61.2%,"$18,918,460",38.8%
76,Springsteen: Deliver Me from Nowhere,"$45,240,624","$22,638,297",50%,"$22,602,327",50%
77,Jujutsu Kaisen: Execution,"$44,457,030","$16,583,133",37.3%,"$27,873,897",62.7%
78,Black Bag,"$43,887,905","$21,474,035",48.9%,"$22,413,870",51.1%
79,The Wizard of the Emerald City,"$43,514,205",-,-,"$43,514,205",100%
80,Bugonia,"$43,354,563","$17,692,390",40.8%,"$25,662,173",59.2%
81,Nobody 2,"$43,285,109","$21,604,985",49.9%,"$21,680,124",50.1%
82,Dracula,"$42,330,654","$13,053,400",30.8%,"$29,277,254",69.2%
83,The Phoenician Scheme,"$40,566,381","$19,555,015",48.2%,"$21,011,366",51.8%
84,Doraemon: Nobita's Art World Tales,"$40,180,353",-,-,"$40,180,353",100%
85,No Other Choice,"$39,890,673","$10,011,860",25.1%,"$29,878,813",74.9%
86,Bring Her Back,"$39,410,222","$19,333,305",49.1%,"$20,076,917",50.9%
87,Exit 8,"$39,184,961",-,-,"$39,184,961",100%
88,M3GAN 2.0,"$39,083,707","$24,101,280",61.7%,"$14,982,427",38.3%
89,My Daughter Is a Zombie,"$37,891,989",-,-,"$37,891,989",100%
90,Companion,"$36,969,122","$20,869,122",56.5%,"$16,100,000",43.5%
91,Eternity,"$35,847,819","$16,210,244",45.2%,"$19,637,575",54.8%
92,Warfare,"$34,902,602","$26,000,309",74.5%,"$8,902,293",25.5%
93,Roofman,"$34,725,610","$22,739,882",65.5%,"$11,985,728",34.5%
94,Novocaine,"$34,536,061","$19,861,854",57.5%,"$14,674,207",42.5%
95,Wolf Man,"$34,154,366","$20,707,280",60.6%,"$13,447,086",39.4%
96,Tokyo Mer the Movie: Nankai Mission,"$33,931,597",-,-,"$33,931,597",100%
97,Caught Stealing,"$33,251,171","$19,005,242",57.2%,"$14,245,929",42.8%
98,Heart Eyes,"$33,129,099","$30,415,738",91.8%,"$2,713,361",8.2%
99,Together,"$32,273,159","$21,273,159",65.9%,"$11,000,000",34.1%
100,Fredonia: The Movie,"$31,114,453",-,-,"$31,114,453",100%
101,Pinocchio,"$30,818,840",-,-,"$30,818,840",100%
102,Drop,"$28,744,167","$16,600,805",57.8%,"$12,143,362",42.2%
103,Him,"$27,834,512","$25,009,605",89.9%,"$2,824,907",10.1%
104,School of Magical Animals 4,"$27,658,489",-,-,"$27,658,489",100%
105,Red Rain,"$27,028,224",-,-,"$27,028,224",100%
106,Rental Family,"$26,585,129","$10,047,429",37.8%,"$16,537,700",62.2%
107,Good Fortune,"$26,239,690","$16,585,758",63.2%,"$9,653,932",36.8%
108,Mobile Suit Gundam GQuuuuuuX: Beginning,"$26,032,533","$1,223,881",4.7%,"$24,808,652",95.3%
109,The Chosen: Last Supper,"$24,990,137","$20,257,290",81.1%,"$4,732,847",18.9%
110,Last Breath,"$24,823,454","$21,051,180",84.8%,"$3,772,274",15.2%
111,KPop Demon Hunters,"$24,619,953","$24,300,000",98.7%,"$319,953",1.3%
112,Yadang: The Snitch,"$24,508,523","$120,382",0.5%,"$24,388,141",99.5%
113,The Woman in the Yard,"$23,311,502","$22,405,985",96.1%,"$905,517",3.9%
